,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_NMI_leiden,0.5575507433486849,0.5925431349039316,0.2145045145397763,0.5346396105423589,0.1758261189804166,0.112761627437071,0.2005423124721142,0.2183404999032651,0.0668194293978123,0.0861026995202133,0.2234496928732076,0.2731166973207719,0.2741796283032737,0.2639015791634942,0.5849389245164422,0.2384342665635858,0.5676465710206751,0.5764062932594068,0.5146516328701438,0.2465183442518048,0.3181478674575196,0.420416332124974,0.4138013215734556,0.3087504801594231,0.5516824650706581,0.2239235530400798,0.3405671816324066,0.536726927292441,0.5263457512362716,0.3832699102587845,0.6429425491195357,0.2889715116097621,0.5172572246299829
bio_metrics_cLISI,0.9903033375740052,0.984889268875122,0.8719168901443481,0.9786087274551392,0.8929357528686523,0.8367840647697449,0.8752399682998657,0.8688890933990479,0.7623006701469421,0.8153001070022583,0.9012710452079772,0.92384535074234,0.9168753623962402,0.9005120992660522,0.9876282215118408,0.8885430097579956,0.9806919097900392,0.9900583028793336,0.9778692722320556,0.9246050715446472,0.8531181812286377,0.978305995464325,0.9807039499282836,0.9693781137466432,0.9618430137634276,0.8576657176017761,0.9831873774528505,0.9918100833892822,0.99911630153656,0.9896591901779176,0.9958229660987854,0.9533645510673524,0.9760246276855468
bio_metrics_isolated_labels,0.5964576005935669,0.6323338747024536,0.5294063687324524,0.4914869964122772,0.4752104878425598,0.6053590178489685,0.5281292200088501,0.5016699433326721,0.490226149559021,0.4823732376098633,0.5141962170600891,0.5253494381904602,0.5311963558197021,0.523191511631012,0.4993233978748321,0.5371745824813843,0.5251480340957642,0.4703172445297241,0.5554295182228088,0.5329219698905945,0.5676286816596985,0.3696222603321075,0.6731337308883667,0.4214192926883697,0.907589077949524,0.5119827389717102,0.5724895596504211,0.497682511806488,0.6017359495162964,0.4920852482318878,0.5396574139595032,0.537330150604248,0.5770711898803711
bio_metrics_ASW_label,0.5317055583000183,0.5265644788742065,0.4946884512901306,0.522330105304718,0.4955151975154876,0.449240505695343,0.4941183626651764,0.4845930635929107,0.4865614771842956,0.4621995985507965,0.4935140311717987,0.5003133416175842,0.5105305910110474,0.496472030878067,0.5736661553382874,0.4941645860671997,0.526658296585083,0.5660722255706787,0.5192689299583435,0.5088367462158203,0.4740941226482391,0.5821328163146973,0.496961385011673,0.5340536832809448,0.4590473473072052,0.4619128108024597,0.5330287218093872,0.5467703938484192,0.5690990686416626,0.5480616688728333,0.6116276979446411,0.5114686489105225,0.5527512431144714
spatial_metrics_moran_i_mean,0.8404708870877796,0.8201888334652809,0.1499474401831732,0.5207318680923347,0.1324530858773731,0.1149690720796307,0.1029189385512549,0.5685050773464501,0.0645329818442999,0.0689783357345674,0.1325835715843721,0.1235209561978454,0.3261258583173108,0.1105341951782642,0.5016095383812879,0.2509628466559062,0.6715668949868328,0.8759039152187545,0.6450763169078009,0.307477892304311,0.3899889791855283,0.8536472061942444,0.321152490346448,0.5273379814167463,0.8667514132245451,0.1943972996219458,0.4461439633340822,0.6589486320878446,0.9583101253782008,0.7090312255809121,0.8616061000458003,0.2967243521491842,0.6641233291647373
spatial_metrics_moran_i_std,0.0206764378449612,0.0045978548279013,0.0131771943213183,0.0087636604059284,0.0218467845474871,4.2323872332800105e-06,0.0163638828838031,0.0033340316828848,0.0133978860485927,0.0058017151678201,0.0134284995203385,0.0200328816171839,0.0363833571462485,0.0186976490056657,0.0022277136797363,0.0198292551514992,0.0206019136752531,0.0044006937998405,0.0197176156800443,0.0220174672278864,0.0004525144149246,0.0019002381084093,0.0010857669692128,0.022085315250828,0.0510487935369707,0.0349126597708788,0.0022295837030623,0.0134660887341113,2.845253733185782e-05,0.0197941085900368,0.0076979304353033,0.0291206675297942,0.0221973354775824
spatial_metrics_greay_c_mean,0.1503306459515721,0.1799236246031736,0.8500170955341967,0.4812095226975411,0.8674037199827296,0.8849158483780613,0.8973530903273585,0.434116024013384,0.9357465795673492,0.9256203871566788,0.8676045474353953,0.8770150406687336,0.6738025787018074,0.8890830577481924,0.4953669929879827,0.7488981602329965,0.3239568395643357,0.1194808297774003,0.3503538837224905,0.6928272125886298,0.5479791676822598,0.1467020228320322,0.6774239912981672,0.472390170161766,0.1337500102963666,0.8053104226024752,0.5457263317732408,0.3345480988162266,0.0406830902841184,0.2919287672424933,0.1372177172116145,0.7024320856898277,0.3356638470068639
spatial_metrics_greay_c_std,0.0170641207986732,0.0047378125390072,0.0131586604002286,0.00657685865591,0.0207621910763803,0.0007426709171809,0.016161317976433,0.0002761547228432,0.0127472452782111,0.0077900265456771,0.0129376552307043,0.0189031316460677,0.0363313789127888,0.018113400157506,0.0047239708389942,0.0210388086871792,0.0198401457194425,0.003801118903409,0.0189325018378694,0.0217699046624294,0.0202840628628885,0.0017346770499901,0.0013344935754393,0.0223988654327214,0.0509228408627173,0.0357677300863998,0.0019727977321742,0.0152857139558044,9.381164339089532e-05,0.0192401128099775,0.00859891436553,0.0271635291312493,0.0216685916480571
downstream_metrics_CHAOS_kmeans_mean,0.0068978974595665,0.0071566896513104,0.0143576161935925,0.007704951101914,0.0143183581531047,0.012890301644802,0.0144129819236695,0.0088856532238423,0.016572973690927,0.015175393782556,0.0135005405172705,0.0130608933977782,0.0128883873112499,0.0135249970480799,0.0066790299024432,0.0129769127815961,0.0079050071071833,0.0072645142208784,0.0082874142099171,0.0110056470148265,0.0097711333073675,0.0081319063901901,0.0081764927599579,0.0097682154737412,0.0064729233272373,0.0139434696175158,0.0062385476194322,0.0072768188547343,0.0061079130973666,0.0072840801440179,0.0062506643589586,0.0120616229251027,0.0062555763870477
downstream_metrics_CHAOS_kmeans_std,0.0001078299246728,0.0005466737784445,0.0006495378911495,0.0004982545506209,0.0010555442422628,0.000503359362483,0.0008635432459414,0.0002683945931494,0.0001342603936791,0.0004554996266961,0.0003531482070684,0.0011429931037127,0.0011848439462482,0.0012451102957129,0.0006113310810178,0.0013316869735717,0.0003952879924327,0.0005103622097522,0.0005313584115356,0.0007186797447502,0.0013924841769039,0.000570498406887,0.0005392411258071,0.0008317441679537,0.0005053719505667,0.0014551947824656,0.0005842302925884,0.0005476104561239,0.000585118541494,0.0007814173586666,0.0005943023134022,0.001084110699594,0.0005032788030803
