,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAIR,STAGATE,SPIRAL,SpiceMix,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_average_confidence_score_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_slice_wise_average_PCC_mean,0.3537008464336395,0.6033363938331604,0.4461673200130462,0.6065595746040344,0.5642692446708679,0.6032816171646118,0.3625451326370239,0.6073127388954163,0.5472782254219055,0.6147869825363159,0.6997705698013306,0.6234856843948364,0.6367486119270325,0.4384328424930572,0.5882740020751953,0.4215266704559326,0.4681314826011657,0.6162257194519043,0.4713078439235687,0.4690593481063843,0.5942813158035278,0.2454622536897659,0.5698370337486267,0.3843093812465668,0.6145246624946594,0.2511342763900757,0.6104461550712585,0.3129494786262512
downstream_metrics_slice_wise_average_PCC_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_average_matching_rate_mean,0.4465208382511081,0.291014241875836,0.4079851548771212,0.2711267605633803,0.3036299735095863,0.2769821910981719,0.3542568258714297,0.2718808193668529,0.2247029664017625,0.2851129121095286,0.3146982453379495,0.3256025913394707,0.2992761035486663,0.4680410207989089,0.279460749600021,0.4378917827261521,0.3821438875337687,0.3215700159991607,0.2453707346499855,0.3356086238098985,0.3968644267841687,0.0978965037899651,0.2666745351063551,0.4971739187452461,0.5298082723529257,0.1080992472526031,0.4183321530673801,0.3409591627980171
downstream_metrics_average_matching_rate_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bio_metrics_geometry_cell_distance_corr_mean,0.2356900473715333,0.0722901687010607,0.1659011759897649,0.0419275193229384,0.0581626673043743,0.0546881827303608,0.1301890868576276,0.0629703663946589,0.0140520381173979,0.0601728899079442,0.0600225496460862,0.0950657038716785,0.0529287650209345,0.2660444981384606,0.0338856275514911,0.1754547413741298,0.1038537194919596,0.1212101968539488,0.0658048837117521,0.0442878124099583,0.1365716170624707,0.0833629986010921,0.0308789779720742,0.2626428595326147,0.2052682760817581,0.0922374164055491,0.0965294443066492,0.2778328409429378
bio_metrics_geometry_cell_distance_corr_std,0.0598949170462815,0.0031435852072898,0.0440666015701606,0.0072700241029842,0.0179892635058328,0.0147679942938731,0.0288087885289136,0.0110597667733117,0.0077557371936225,0.0049645408798505,0.0123717396085819,0.0130879493840256,0.0087163347198584,0.0769581157875505,0.0145008368260207,0.0718437530670738,0.0346516278644322,0.0115303488115519,0.0246608449903413,0.0305332287760804,0.0361608851340504,0.0256179750432809,0.0054960814441368,0.074400393787067,0.0496882998223246,0.035847645965637,0.0248048535397251,0.1327720136687816
bio_metrics_geometry_truthworthiness_mean,0.7529179887527928,0.570244222214303,0.7170980616279194,0.5525707813983158,0.5937175135141513,0.5622293722272547,0.6784948354261111,0.5570315406336475,0.5416699763046726,0.562514596739527,0.5859425379405154,0.5896349657676638,0.5689432387046438,0.7232475432117231,0.5612694565387211,0.7527301467829572,0.686376113836406,0.5841980309047623,0.5472975567790946,0.6423904654403635,0.6521701717855919,0.6325580453648917,0.5532246723600185,0.8281146884142324,0.7012821893957182,0.6842787151185128,0.6171651960615566,0.7156922818147525
bio_metrics_geometry_truthworthiness_std,0.006829811741602,0.0002282354506769,0.0093395578026531,0.005881749021912,0.0089671020896872,0.0032514737226417,0.0086735320430652,0.0037119600863005,0.0044337984078315,0.0042457808123843,0.0056006901948923,0.0087115812321744,0.0037394476952393,0.0162669569811159,0.0099776299179563,0.0095398538690454,0.0023911946977941,0.0023537293391293,0.0111202091125764,0.0196089212458775,0.0110599168863598,0.0134978228670651,0.0012585384492049,0.0137853658240456,0.0151792126507665,0.0194980496823875,0.0111457493031555,0.0253283137324172
bio_metrics_geometry_truthworthiness_decay_mean,-0.1127235678911036,-0.0095909067058524,-0.179370117098693,-0.0194816527982222,-0.0334709757689146,-0.012416901205282,-0.1139171209667111,-0.0090183229049577,-0.009389153625582,-0.0141684313762796,-0.0232741527541083,-0.0178237589973277,-0.017425437748748,-0.0916134871913395,-0.0112816304735305,-0.1626581510379588,-0.1146313836569254,-0.0140185039774651,0.0008703217641511,-0.0447577140490002,-0.0527091741698891,-0.0259614214404307,-0.0124381283634262,-0.1440456218979714,-0.0718339055952221,-0.0709236035299931,-0.0406688025902737,-0.1068933397355109
