,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STAMP,STAIR,SpiceMix,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche,scGPT_sp
downstream_metrics_slice_wise_average_PCC_mean,0.7132182717323303,0.7335749864578247,0.7221928238868713,0.7139818072319031,0.6935202479362488,0.7049066424369812,0.6953501105308533,0.7048586010932922,0.744175374507904,0.7432719469070435,0.7324145436286926,0.7171425223350525,0.7211235761642456,0.7089570760726929,0.7146084904670715,0.6314765214920044,0.7436063885688782,0.640775740146637,0.718727707862854,0.6565529108047485,0.7121210098266602
downstream_metrics_slice_wise_average_PCC_std,0.0344746708869934,0.032924611121416,0.0336888544261455,0.0346726179122924,0.0366778410971164,0.0331473238766193,0.0394234284758567,0.0444815084338188,0.0282331146299839,0.0263635218143463,0.033154048025608,0.0426435843110084,0.0341113582253456,0.0297723971307277,0.0375528782606124,0.0945130586624145,0.0292004011571407,0.0337090082466602,0.0332233197987079,0.0993989631533622,0.0297798849642276
downstream_metrics_average_matching_rate_mean,0.3969393179072056,0.4187130010887125,0.465109240895301,0.3725116969946658,0.2510885531145806,0.3598067212053642,0.2693194705140369,0.3168397005676624,0.3629823805581535,0.399463969145811,0.4567647747447655,0.4028314673788902,0.4699723867121436,0.3022378497284431,0.3361159599507108,0.2748193046786349,0.4366885736446947,0.092993707865468,0.3753243152263267,0.2626091477911936,0.271612483576084
downstream_metrics_average_matching_rate_std,0.1093084073940676,0.1140764507905569,0.1063776747139938,0.0933986186349714,0.074037399735262,0.0947105770531883,0.0763301565647223,0.106504486642831,0.0861549498936743,0.110396635364411,0.1204947102585433,0.1185199572187203,0.1174988491619052,0.0699677757945075,0.1299306854329457,0.1128768231012836,0.1090712700744572,0.0295515843604088,0.1166808442360091,0.1447212813805365,0.0398989752003166
bio_metrics_geometry_cell_distance_corr_mean,0.2009217274859972,0.1699561366975697,0.2256871466251138,0.1344714434649297,0.1446826564913133,0.1892757723830476,0.1021648146857809,0.1353878142925857,0.18527013332804,0.2169173155139785,0.2196820243796999,0.1533370750357935,0.2376772698803743,0.1785734758543037,0.1843552848409627,0.2102166096049771,0.26318491773352,0.1238455676173823,0.1833684067529883,0.1771630833273252,0.1308058793107428
bio_metrics_geometry_cell_distance_corr_std,0.0488904049619515,0.0400896297918946,0.0787201323455946,0.0522501847839331,0.0996721060909827,0.0562077031295555,0.0554571610845631,0.0804243377497354,0.1060902041023007,0.0724016411329734,0.0751764602780989,0.0766504689129149,0.0744586978148252,0.1054817651342699,0.1087114445298426,0.1378121133124477,0.0888440462911318,0.0881528374287596,0.0905688545479087,0.0989203090668096,0.0674256402349085
bio_metrics_geometry_truthworthiness_mean,0.8701432548169621,0.724852771978993,0.863614313941697,0.6853045312252267,0.6799156808613216,0.7930031642320606,0.653421396189347,0.6473555417592102,0.7546546596149322,0.7569942926303312,0.7586957062199253,0.7120389321200432,0.8726217637031697,0.8179290365372104,0.6860119186262547,0.7516655230471425,0.860025106973964,0.6950465171540154,0.7270785589215063,0.6566540683862111,0.7292650572701829
bio_metrics_geometry_truthworthiness_std,0.0215463271194936,0.0369880256692041,0.0289857272051053,0.046122778344906,0.0327939211385345,0.0194800554244765,0.023502459201983,0.0314232821009909,0.0298778172844844,0.0403656655426441,0.04723097276731,0.0241700373657184,0.0301061345508159,0.0306969007477885,0.0317240687642851,0.1191242402886286,0.0317870021608257,0.0861668865681637,0.0251074942284452,0.0692412284161917,0.0264959644013085
bio_metrics_geometry_truthworthiness_decay_mean,-0.1116312783904118,-0.0396052950178045,-0.1245521229128335,-0.0679452097162849,-0.0418247128162896,-0.1405063493198384,-0.0321274917138535,-0.0271647605251304,-0.0593043566280812,-0.0470934572825863,-0.0506408512882252,-0.0462911690018876,-0.106830298042211,-0.1210432328918008,-0.0420886751182314,-0.098261276321287,-0.0887239087439419,-0.0807045756698518,-0.0550985896466596,-0.0237250740601674,-0.0673594642519679
bio_metrics_geometry_truthworthiness_decay_std,0.0089478698412408,0.0129862210109263,0.0366984178380633,0.0249607307472339,0.012913272680881,0.0134215609382915,0.0111021420883799,0.0096027621547515,0.0192089227864396,0.0117921560509328,0.0179814335798338,0.0160823240174647,0.0119672506115238,0.0105730377013445,0.0089087909213124,0.0383007528384261,0.007249130329886,0.0245800771825014,0.0204589829422379,0.032019031312028,0.0174877914672504
bio_metrics_scgraph_scGraph_Rank_PCA,0.3401502423009347,0.529375958869118,0.3498338025107229,0.2427647064980608,0.2241741711764844,0.529252647887474,0.3670775106164258,0.4040468716856612,0.4955512210599541,0.5388624051842857,0.6183038916745836,0.5319552862935362,0.5393195960077272,0.3950975302668731,0.6050289151112531,0.128359238734134,0.5423041362146718,0.1324593099589269,0.6125190157592864,-0.3326374893830642,0.2283289814632922
bio_metrics_scgraph_scGraph_Corr_PCA,0.5643586013362674,0.6683720068588266,0.3742976259371948,0.2952318610971108,0.3419351015314352,0.6770091230274848,0.4918434807077002,0.5483938974464311,0.5752336127280148,0.670835959115153,0.6607382836798035,0.6349518702192961,0.6429656105097329,0.5241969221790388,0.6629581427816617,0.3055001582003086,0.6744931233435257,0.2774512571800526,0.593541424603836,-0.1975495901234765,0.3434370212405853
bio_metrics_scgraph_scGraph_Corr_Weighted,0.2845118969964419,0.457075409024835,0.2005042274260425,0.1075046436005321,0.0814864321525713,0.4787062003460741,0.2790551943926808,0.2946936822486509,0.3668663918445765,0.4501128338576595,0.5170003589874547,0.4599894685818554,0.4598134134100066,0.2715620785958769,0.5360793834311524,-0.0064291085136848,0.4583133563050844,0.0008924963110941,0.4698391443032246,0.0806649500255786,0.0722357910167488
