,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_CHAOS_leiden_std,0.0004101435037281,0.0005148795797388,0.0004528676541796,0.0003000410668196,0.0003699991759718,1.3005406318391347e-05,0.0005026436906965,0.0003695924078825,0.0004621709130897,0.0002239321039432,0.000200026966472,0.0002913605968896,0.0003289238790775,0.0003783522051154,0.0004461408286294,0.0003512097503361,0.0003871138270305,0.0003415203900853,0.0003858004928285,0.0003847339984222,0.0003027660012517,0.0004032631706188,0.0003549839105075,0.0003953602152586,0.0003277077853182,0.0003475748391464,0.0005311119337112,0.0003912967266926,0.0004114049710709,0.000401290920033,0.0004034869075677,0.0003977116287266,0.0003710245600228,0.0003912121757943,0.0004111827505493,0.0010008888239361,0.0003161821733479
downstream_metrics_PAS_leiden_mean,0.0637771967030049,0.0803709383847941,0.3438666090431392,0.0808921176786065,0.2091633262330076,0.3390483331279562,0.6178737251388694,0.161645704949352,0.3765915753693549,0.2991404044921051,0.2783994213353796,0.2550940274702245,0.1298422873243937,0.0493498683247136,0.070351285125207,0.1257061303330566,0.2079790109908364,0.0831363054087237,0.0545198727838817,0.1095583149910947,0.1759512646975034,0.001639801587297,0.1534798272606895,0.2004332814159888,0.1714321274820124,0.1706711241354638,0.1656507490994614,0.3523502152727418,0.0310555821283243,0.0120191358847352,0.1306206629718108,0.0693867690644334,0.0753146597488029,0.0866952889801605,0.015156520031699,0.0713197417760038,0.1109172024334398
downstream_metrics_PAS_leiden_std,0.0130801164278155,0.0073467683581149,0.0199453671989734,0.0024869378347745,0.0192528075577829,0.0288101782641721,0.0433824521454671,0.0142889322276247,0.0186597906032958,0.0495515669460142,0.0079549388808184,0.0136384698620247,0.0098967175619484,0.002206175387496,0.0059350562698701,0.0125315243780322,0.0085469859957604,0.005010720220341,0.0054356037485983,0.0081422761931925,0.0071163728804154,0.0002477070684779,0.0127036828693225,0.0138940936749391,0.003398020647648,0.0093135946924681,0.0269386711462606,0.0107027845854004,0.0013412824300369,0.00012687149889,0.0182336470592042,0.0053057952912078,0.0036423787349858,0.0039781259173425,0.0007276514193682,0.0244808902353851,0.0131374325229838
downstream_metrics_average_confidence_score_mean,0.9922564029693604,0.9614148139953612,0.7640712261199951,0.8785852193832397,0.829708456993103,0.6882134675979614,0.917588710784912,0.9513554573059082,0.9659004807472228,0.7732483148574829,0.7373809814453125,0.9311879873275756,0.9566471576690674,0.9045623540878296,0.961919903755188,0.9956732392311096,0.990747570991516,0.9807538986206056,0.9874609112739564,0.990654230117798,0.9341686964035034,0.7020350098609924,0.9934340715408324,0.998582124710083,0.9866973161697388,0.9602384567260742,0.9973815679550172,0.993338942527771,0.9975520372390748,0.8831335306167603,0.9325879216194152,0.9187463521957396,0.9993640184402466,0.8454010486602783,0.9954379796981812,0.9443901777267456,0.9949343204498292
downstream_metrics_average_confidence_score_std,0.0007385313510894,0.0016015768051147,0.0059920251369476,0.0030626654624938,0.0042202174663543,0.0057511627674102,0.0082988142967224,5.945564043940976e-05,0.0013129115104675,0.012185513973236,0.0215387046337127,0.0009592473506927,0.0015331804752349,0.0034660995006561,0.0021544992923736,0.0008304119110107,0.0007680058479309,0.0006845891475677,0.0013583302497863,1.820924262574408e-05,0.0033016502857208,0.1253420710563659,0.0009520947933197,0.0011192858219146,9.179115295410156e-05,0.0024397075176239,0.0001862347126007,0.0009253919124603,0.0004632771015167,0.0067503154277801,0.0046766400337219,0.0034559965133666,8.803606033325195e-05,0.0016641318798065,0.0021043419837951,0.0010689198970794,0.0009987652301788
downstream_metrics_slice_wise_average_PCC_mean,0.5684163570404053,0.5745696425437927,0.6091818809509277,0.5985356569290161,0.619997501373291,0.5708736181259155,0.5687044858932495,0.5598642230033875,0.5476710796356201,0.6238617897033691,0.6316683292388916,0.6264764070510864,0.5961744785308838,0.5701053142547607,0.5959421992301941,0.5847479104995728,0.6157627701759338,0.6126061677932739,0.594045877456665,0.604921817779541,0.6321253180503845,0.5116844177246094,0.5943931341171265,0.5791689157485962,0.605247437953949,0.6267414093017578,0.5664737224578857,0.5980151295661926,0.5166219472885132,0.5641260147094727,0.5938733816146851,0.6137182712554932,0.555115818977356,0.6245177984237671,0.5706116557121277,0.5889489650726318,0.5781790018081665
downstream_metrics_slice_wise_average_PCC_std,0.0262896120548248,0.0190808773040771,0.0192359983921051,0.0206499397754669,0.0199296176433563,0.0253784358501434,0.026350975036621,0.0134257674217224,0.0174292027950286,0.0218627750873565,0.024789361283183,0.018600195646286,0.0247728526592254,0.0293770730495452,0.0214194655418396,0.021797239780426,0.0161774158477783,0.0202548801898956,0.0214290022850036,0.0157304108142852,0.0192242860794067,0.001504510641098,0.0186617672443389,0.018583208322525,0.0221669673919677,0.0204705297946929,0.0128770768642425,0.0229548811912536,0.0242723524570465,0.0125521132722496,0.0271697342395782,0.0189733803272247,0.0169670581817626,0.0203011631965637,0.0137242078781127,0.0305516123771667,0.0185111463069915
downstream_metrics_average_matching_rate_mean,0.6847365848050506,0.6777045645773181,0.7554446787023668,0.7591001331212861,0.8046834687392825,0.6494968381022754,0.6408692401624734,0.6038819880268075,0.5420823488857808,0.7863092344267817,0.8324353479293001,0.8207003030061739,0.7155820159756943,0.6928872551679506,0.7509633702293599,0.7240530836197522,0.8395898137493247,0.7718972827680108,0.7362696836312543,0.7609806429948212,0.8181700071623476,0.3797184034229022,0.7873771956776037,0.7359409219182711,0.8109178007477773,0.8324761672828227,0.6781248469964452,0.7421533204485935,0.4194763148217105,0.6756691292532423,0.7743913867697887,0.7876731765125387,0.6129790895759116,0.8199187166744364,0.6576508820243487,0.7719115660684384,0.726568820079903
downstream_metrics_average_matching_rate_std,0.0107047343026118,0.0020862328605382,0.0157725860890977,0.001387257761352,0.0141210899416097,0.0164827933235247,0.0238979761323859,0.018996285494046,0.0169016472344908,0.0145515803161863,0.0161340022161897,0.013683790107308,0.0332055688933648,0.001402269565318,0.0058261545039088,0.0118829008613341,0.0137685761633812,0.006897576591834,0.0107598992979406,0.016783663503724,0.0121524952624827,0.0393528865867971,0.0083914755154129,0.0164839083436105,0.0120695901348608,0.0130015242787679,0.0211170875396071,0.0264572518113483,0.0670052564682991,0.0044154920078495,0.0061008537733733,0.0043976285311083,0.012990842528841,0.0075546101926828,0.0060383699001974,0.0327683563369933,0.0028807434506499
bio_metrics_geometry_cell_distance_corr_mean,0.2726677713240299,0.1937430664641479,0.1603238105293895,0.2808443309990638,0.2111544233516249,0.1781016885080026,0.1079279917688848,0.2007107783874424,0.1127233501784199,0.2079108181367431,0.2443814534368565,0.2067275933720135,0.2211970487819021,0.2468202557807256,0.2702531701112642,0.3185531695392727,0.2539626714668407,0.2897000828275308,0.2826392005561073,0.2841805709544571,0.3168469231003405,0.3508581967706994,0.2300501521620987,0.365552122744269,0.2893506221629945,0.2671775779707467,0.2592393692904883,0.2229342276269861,0.3231566307083932,0.3309991382168292,0.2446325714054886,0.2895358520654025,0.1393724747245486,0.3060599061969583,0.2942423814097099,0.2823265774674737,0.2610085074122712
