,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
spatial_metrics_moran_i_mean,0.813999854764732,0.8003678515925577,0.1286389982679504,0.514301741587108,0.0857611754836009,0.1048052200536341,0.1049594103108532,0.5995845616587865,0.065486948632439,0.056958663287375,0.0896591561846647,0.0960166870664011,0.2639680794342028,0.1001498843094307,0.4979160980651189,0.1724357780504725,0.5965861626651447,0.8125833781982142,0.5942569183934823,0.2434097802656003,0.2908938978359985,0.3308024303799771,0.4437485528624597,0.6747555415444528,0.1603308943547881,0.4523936567289115,0.6489015129760669,0.8933545065948145,0.3476592065032027,0.5678637363961463
spatial_metrics_moran_i_std,0.0133982539137296,0.014826758807987,0.0042693811522708,0.0012024552457269,0.0015729512387317,0.0039805205759592,0.0025542436242797,0.0034286118728125,0.0001419804647446,0.0011703162443049,0.0031284455481319,0.003256111757235,0.0032584268459121,0.0002874675134041,0.0131874845903247,0.001586656217004,0.0159695160833792,0.0124387844950647,0.0132302655085781,0.0099474207940359,0.0327774203090193,0.0171828039536628,0.0032197668873675,0.0635311255206831,0.0072900607297776,0.0128727165801567,0.0006210358790943,0.0050118947626974,0.0090503766615667,0.0424005762073322
spatial_metrics_greay_c_mean,0.1829805372121087,0.1999735266976833,0.8713106057149593,0.493135537561122,0.916037853462911,0.896792290378571,0.8999179273247313,0.4131409711134055,0.9347715549242468,0.943332040347724,0.9118176689928448,0.905953851313851,0.7390790687072308,0.8994452265380503,0.5048036288741495,0.8270203334290568,0.40457344724847,0.1870574252491721,0.4063038734969797,0.7597181689006556,0.5535751783383585,0.6671214520053977,0.5624341727826909,0.3260949287513197,0.8491744617546533,0.5455436632570456,0.3562614732491556,0.1110035144103439,0.6559469118558078,0.4323968073195061
spatial_metrics_greay_c_std,0.0139405608647469,0.0147515009727678,0.0042842473732112,0.0005383719193999,0.0016094310125364,0.0028926549057072,0.0015095399109976,0.001136469613669,0.0002116035074316,0.0005794326490889,0.0024730359100722,0.0018125373834522,0.0028851129417233,0.000800850390803,0.0111014405625373,0.0006835837924753,0.0163696846016767,0.0146405207872042,0.0133705120966642,0.0091712013376423,0.0176290391195381,0.015282821501998,0.0033696618411536,0.0630769333964847,0.0063733520657437,0.0120376011226764,0.0003138842823443,0.0045116409359532,0.0092380971838271,0.0417411461427484
downstream_metrics_CHAOS_kmeans_mean,0.0093122883699834,0.0093470644205808,0.0163834681734442,0.009597176220268,0.0160428462550044,0.0178843573667109,0.0157825802452862,0.0098171038553118,0.0161953098140656,0.0158918583765625,0.0166442557238042,0.0153538552112877,0.0154674206860363,0.0153663377277553,0.0091695548035204,0.015042814426124,0.010748466476798,0.0098926657810807,0.0109728844836354,0.0141590484417974,0.0099194371141493,0.010326256044209,0.0126151964068412,0.0094429100863635,0.0158662344329059,0.0081789635587483,0.0117716267704963,0.0076254205778241,0.0133423754014074,0.0092531079426407
downstream_metrics_CHAOS_kmeans_std,0.0006530419923365,0.0008661318570375,0.0017149718478322,0.0010594013147056,0.0021337950602173,0.0022914125584065,0.0018293405883014,0.0010691760107874,0.0017381166107952,0.0021978942677378,0.0019669593311846,0.0018998063169419,0.001716564875096,0.0019597229547798,0.0009492677636444,0.0017143497243523,0.0009144516661763,0.0009741354733705,0.0010474463924765,0.0013464731164276,0.0012894594110548,0.0016148667782545,0.0013173343613743,0.0004824395291507,0.0019601215608417,0.0007894241716712,0.0010989317670464,0.0007468909025192,0.0017996220849454,0.0012926645576953
downstream_metrics_PAS_kmeans_mean,0.3049966270292807,0.2994384653702724,0.8939124685929951,0.3664263654858009,0.8752994718102298,0.954747677921072,0.8642190740223207,0.3937641472344445,0.8791109945540113,0.8379733257787344,0.8864716808343039,0.8569498987761348,0.8385445486344227,0.8461783052484156,0.2965167563492284,0.8396134084773775,0.5527410187461312,0.4072446754973223,0.5900805020297635,0.7334918126349207,0.4444043245068152,0.4486491515692199,0.7023150060568404,0.2512383416916095,0.8360546705901037,0.1228104459523985,0.583859360923977,0.0407006780386215,0.7241896631219382,0.3034605668141819
downstream_metrics_PAS_kmeans_std,0.0859299850546253,0.0255555584150619,0.0142331119962597,0.0276078782242331,0.0004115258352104,0.0048680514759279,0.0148447519503082,0.0250639170696253,0.0136383630029121,0.00915510307443,0.006382260479268,0.011028048991749,0.0285892588119406,0.0057357665524256,0.017832135062951,0.0042581225155058,0.0803343413208024,0.0483595198053728,0.0271952405149086,0.0664768122380847,0.0469711087057036,0.3679856419525633,0.0425753304040453,0.1111817264372377,0.0057549272106492,0.014328740087164,0.0557898352751504,0.0019694946739822,0.0225308890802968,0.035225641815676
downstream_metrics_CHAOS_mclust_mean,0.0082794576883316,0.0093860519118607,0.0162396593950688,0.0096657276153564,0.0148069029673933,0.0160454222932457,0.0160539015196263,0.0090330843813717,0.016278063878417,0.0160297700203955,0.0161930075846612,0.0150848398916423,0.014896672219038,0.0148413241840898,0.0087227281183004,0.0150945326313376,0.0100752343423664,0.009295362047851,0.0097240582108497,0.014643098693341,0.0105671877972781,0.0117712994106113,0.013155210763216,0.0090638464316725,0.0149407968856394,0.0082205976359546,0.0118528865277767,0.0075503794942051,0.0138034424744546,0.0092503484338521
downstream_metrics_CHAOS_mclust_std,0.0004371618852019,0.0009233639575541,0.0017233756370842,0.0009965654462575,0.0019809259101748,0.0017579002305865,0.0020507951267063,0.0010977457277476,0.0018803030252456,0.0021434663794934,0.002028462011367,0.0016364608891308,0.0016962345689535,0.0017103063873946,0.0008637895807623,0.0016156090423464,0.0007816958241164,0.0010125031694769,0.0009578196331858,0.0018965979106724,0.0015350501053035,0.0001318887807428,0.0015446254983544,0.0008151959627866,0.0014452333562076,0.0007635499350726,0.0012906221672892,0.0007659753318876,0.0019280281849205,0.001282843761146
downstream_metrics_PAS_mclust_mean,0.1552992968906527,0.301306822583518,0.8660851520517376,0.3771191651631121,0.8283813728788191,0.892973547031011,0.8794794502872878,0.2575975899736082,0.8919117157502657,0.8470353300485934,0.8999306242925162,0.8407021685151601,0.8117171794568157,0.8054546208426503,0.2652025172096334,0.8484732990929651,0.4688433910519663,0.29264610822708,0.4571682634409528,0.813072334235724,0.4658904424395246,0.666640947150134,0.7847947922763578,0.1831650040181541,0.7890099856999155,0.1263853145124748,0.6241712893527961,0.0371706995678088,0.7645354548962855,0.3219563253057456
downstream_metrics_PAS_mclust_std,0.0926389090497045,0.0194739698625465,0.0107450636896117,0.0343058632239074,0.0005420120491674,0.0132148232552496,0.0167082795468348,0.0239574776207725,0.0078671643071058,0.013494760192248,0.0006475744763835,0.0236302883066889,0.0184686808192854,0.0072059899264885,0.0129603944021516,0.0184513408401012,0.0949975221136346,0.0265808684059206,0.0291013833647603,0.0059081235423193,0.1179477543381679,0.1288753977969765,0.0080546668762149,0.0301186271298766,0.0408023611595837,0.0191205720589707,0.0188245870590846,0.0024740144703194,0.01681726129328,0.0308175576012096
downstream_metrics_CHAOS_leiden_mean,0.0085597387515008,0.009081654716283,0.0162860816344618,0.0094425631687045,0.0149635458365082,0.0167220570147037,0.0148155381903052,0.0095432247035205,0.016513249836862,0.0134051362983882,0.0147204417735338,0.0148234060034155,0.0144285028800368,0.0142636834643781,0.0088964807800948,0.0145288840867578,0.009952169843018,0.0096073104068636,0.0103782243095338,0.0134941544383764,0.0186230773106217,0.0106165232136845,0.013038688339293,0.0100237028673291,0.0149844717234373,0.0085868218448013,0.0109916948713362,0.0080201218370348,0.0141424993053078,0.0089718725066632
