,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_ASW_label,0.4889012575149536,0.4942438304424286,0.4996708631515503,0.4944157898426056,0.4715169668197632,0.4876345098018646,0.4834612309932709,0.4765360951423645,0.4579366445541382,0.492572009563446,0.4972285032272339,0.4911018311977386,0.4937232434749603,0.4981825351715088,0.4830440580844879,0.5117868185043335,0.500424861907959,0.4964597821235657,0.4087287783622741,0.4889235496520996,0.5017138719558716,0.4940197467803955,0.5235673785209656,0.479774922132492,0.5351724624633789,0.5171716213226318,0.4992300868034363,0.5044666528701782,0.4956301152706146
spatial_metrics_moran_i_mean,0.8589741514715783,0.2218810225447558,0.6075727193422501,0.1788601936853007,0.121724045265345,0.1339201787120957,0.6141018671525376,0.0750404873058743,0.0885034554846325,0.1311050874480793,0.1546506109469151,0.4097836225172195,0.1714373518423226,0.5712734091847783,0.3366520933729879,0.882779235679746,0.7364440656903456,0.3585909291058377,0.170573959437332,0.8608893740144982,0.4188777126274583,0.535827647162362,0.7840791097989316,0.2560021680205158,0.5474465707419621,0.7466619498784198,0.9244099761493452,0.4241971683607728,0.6784431587635394
spatial_metrics_moran_i_std,0.0015581364747185,0.0048614039707744,0.003326348142332,0.0059803977503409,0.0095011599223414,0.0050555398995202,0.0038565615867334,0.0049475068499967,0.0063373702583166,0.0005413980079296,0.0020373887193499,0.0056410726519465,0.0043261543559681,0.0166145114768362,0.006232814027887,0.0044652845330967,0.0033359270084799,0.0036009232404531,0.057118111446213,0.0019730927964235,0.0055864884770551,0.0069855763086398,0.0292659079721565,0.0046581889548846,0.0048723189427413,0.0021356877322839,0.0014141298758483,0.0145340274591799,0.0403597275206916
spatial_metrics_greay_c_mean,0.1405391308611007,0.7778423036172871,0.3942420735611154,0.8195991495097421,0.8763906011821416,0.864754249019637,0.3868588112169973,0.92365730235996,0.9106060311224607,0.8676174014122241,0.8441317858619087,0.5893955440893455,0.8271078593356229,0.4267111783953414,0.6622129376513045,0.1124441432338974,0.2600822836803392,0.6413295878777231,0.5997498625064681,0.1413057341686566,0.5776351882734264,0.4632904484553312,0.2138484354244384,0.7426405404780017,0.447541293105099,0.2553392020197182,0.0770942649760942,0.5713831978285869,0.3202218805429448
spatial_metrics_greay_c_std,0.0017595336399316,0.0048460453090935,0.0033271860147589,0.0057490780493233,0.0095300497289585,0.0050616189956379,0.0038792415476521,0.0050019707270727,0.0070162021706247,0.0007067227714842,0.0019737480295951,0.0052987216603773,0.0043909162241056,0.0163439182903872,0.0058566308789463,0.004590408413766,0.0031289533617455,0.0038978466441813,0.025779611240759,0.002033913133005,0.0052620493700609,0.0073280304120682,0.0282042212290205,0.004619767486454,0.004907950018303,0.0019137078455771,0.0012941818237577,0.014461066291167,0.0404666887241352
downstream_metrics_CHAOS_kmeans_mean,0.0075294431298971,0.0118942220384875,0.0077040359998742,0.0108450638751188,0.0129908531283338,0.0116571284209688,0.0079759052023291,0.0137991867959499,0.0119157855709393,0.0118487405901153,0.0107815656810998,0.0106321899220347,0.0111411890635887,0.0073534892871975,0.0108583193893233,0.0076550217345356,0.0081246088569362,0.0102287732685605,0.0080187236890196,0.008520013342301,0.0085566801329453,0.009017229390641,0.0077770312006274,0.010531071263055,0.0071436632424592,0.0078279815303782,0.0068598153690497,0.0102193712567289,0.0073434873484075
downstream_metrics_CHAOS_kmeans_std,4.637982561799975e-05,0.000122380883808,6.287163659094101e-05,9.949121395353082e-05,0.0003167684385278,9.80504850295888e-05,5.9578594705238144e-05,0.0001513678214155,0.0001119748356973,0.0001219765014679,0.0001117219005709,0.0001215074803992,0.0001167070481666,3.242904405533651e-05,8.185430049749138e-05,4.647989328397081e-05,4.534623154506447e-05,8.645484039391412e-05,1.2418562760016974e-05,5.684742106285408e-05,7.74230300442721e-05,9.07860919220296e-05,0.0001140549858719,0.0001098095256747,3.483369407276926e-05,5.3128928465566335e-05,3.834471461898551e-05,8.319781149265563e-05,0.0001099303784556
downstream_metrics_PAS_kmeans_mean,0.1331036250162565,0.7391712028911782,0.1626210333950995,0.6025124021268663,0.8244961741875984,0.6829662280017034,0.2230131078574258,0.8662674810216161,0.660479711467861,0.6877807820442392,0.581852486891986,0.5349709181741006,0.6516114485046177,0.1065826231679395,0.574736708112011,0.1492500593171295,0.2851152490403166,0.4548661821414748,0.2394824099434219,0.2550496316828262,0.3158300398953823,0.3868590740066379,0.11271648187908,0.5551017212138475,0.0813725936630813,0.173696738545283,0.0303895196637418,0.5204043931012072,0.1235190856090994
downstream_metrics_PAS_kmeans_std,0.0021234873390463,0.0084834675316399,0.0033787756794274,0.0141574597493319,0.05610368475112,0.0104756804024659,0.0071165707667555,0.0325760523321193,0.0064306057562085,0.0031244936514893,0.0059738385587186,0.0071294150042218,0.0131379304922733,0.0022168788161704,0.0067917625312106,0.0028646993960895,0.0025444130789337,0.0054744766274351,0.004204891280476,0.0049099877247351,0.0041257295728432,0.0029714260777473,0.0060409580999996,0.0163360531235657,0.0020023982383075,0.006688052153515,0.0034077530044424,0.0078025908484167,0.0270492011189261
downstream_metrics_CHAOS_mclust_mean,0.0076371890803178,0.0111403561507662,0.0075385030359029,0.0111246602609753,0.0117499213665723,0.0115855249265829,0.0077003027933339,0.0133814703052242,0.0118915860851605,0.0111202960833907,0.0109714943294723,0.0109599347536762,0.0108926606674989,0.0073107429780066,0.0100625660270452,0.0071834386326372,0.0078018830778698,0.0106521438186367,0.0080417459830641,0.00865557231009,0.0100229065865278,0.0093041711176435,0.0078142005950212,0.0106666392336289,0.0071661110656956,0.0074768620543181,0.0068043305849035,0.0104324473068118,0.0073955950016776
downstream_metrics_CHAOS_mclust_std,2.702882912823424e-05,0.0001117514201451,5.686750768626716e-05,0.0001217527602246,0.0003010196459519,0.0001244400733716,4.560939771144178e-05,0.0001284426892485,0.0001373190397326,3.290602008471854e-05,0.0001087226272621,0.0001042230248182,9.073601753317068e-05,3.023370624090337e-05,0.0001007213919576,3.9174925445573454e-05,5.675000283421076e-05,8.820965514526408e-05,4.672020131287753e-05,5.024563218445229e-05,8.001826683595572e-05,6.207215265010742e-05,0.0001361033036946,0.0001041976180753,3.850133961898641e-05,3.898791529117409e-05,4.2759780474162256e-05,8.574164563527805e-05,8.313322623096422e-05
downstream_metrics_PAS_mclust_mean,0.1559424958666329,0.6532900564881782,0.1472653126717465,0.6094228418221614,0.6834954892202059,0.6155341622874244,0.1838783033516521,0.82021339155689,0.6771173865547166,0.6235426037248166,0.5841894272827725,0.5410470153372308,0.5826671370264336,0.1224586792231579,0.4070548583663267,0.0904867084613241,0.2238641618584833,0.5271733378972844,0.2352247647054919,0.269752588801142,0.4705998408186357,0.4436240770334139,0.1298491130208107,0.598785976888096,0.0828803351795734,0.1368756563449085,0.0212122350766549,0.5096596262829544,0.1235338738522499
downstream_metrics_PAS_mclust_std,0.0014215756772605,0.0100921633956808,0.0066787791010085,0.0151610308400261,0.0433458849987767,0.0080947603532892,0.0067505869778219,0.0322536043903937,0.0118872697649487,0.0086907127531365,0.0056778463893345,0.0020296425769285,0.0095345213131189,0.0001970270241438,0.0109659815916788,0.0011234485960044,0.0072993152365444,0.0069189267261205,0.0073727258911776,0.0083926913837556,0.0071321291519726,0.0067240916356483,0.0083090071606751,0.0153447082331717,0.0029541235322653,0.0048901164135414,0.0015926912627572,0.0080904287835853,0.0210736006626851
downstream_metrics_CHAOS_leiden_mean,0.0072088393693168,0.0108149802933136,0.0074108523937563,0.0107020031039913,0.0118946582078933,0.0109967862566312,0.0078633016285796,0.0124834459275007,0.011631175254782,0.0115579844762881,0.0105977685501178,0.0102404713009794,0.0107137011364102,0.007008120107154,0.0099825048819184,0.0070394788247843,0.0071172625757753,0.0094624155511458,0.0141442030047376,0.008604855587085,0.0084808425356944,0.0083367172628641,0.0077495846586922,0.0105296910429994,0.0073077601070205,0.0079554384574294,0.0068026742277046,0.010315926435093,0.007180364181598
downstream_metrics_CHAOS_leiden_std,4.663467891356292e-05,8.196522242317781e-05,6.073157543533731e-05,9.439069903319188e-05,6.311051840704449e-05,0.0001325091933193,7.27629170587875e-05,9.670872714793613e-05,0.0001110329437455,5.434285713278423e-05,0.0001254060839068,0.0001004013540644,9.376779996116396e-05,3.0948882528631746e-05,0.0001064191971403,6.240131092758586e-05,4.103307272362473e-05,6.745914467365156e-05,0.0001243664913344,3.694482806130498e-05,4.602957943371216e-05,4.995476789783139e-05,8.133252370768654e-05,0.0001102769766537,7.005209829252118e-05,3.607887178864922e-05,4.728090766509149e-05,6.932567835909826e-05,5.97233446892584e-05
downstream_metrics_PAS_leiden_mean,0.0635452530779125,0.5813351400556567,0.1002368237481757,0.5465627084011827,0.7404306278154015,0.5825077743278428,0.1962209123950426,0.7273664257055713,0.684235007293644,0.5982667249531904,0.5391051010757248,0.4967673088267423,0.5428638281382155,0.0520842093058247,0.3971057500552834,0.0500689440421128,0.0758547404477735,0.3812242304480277,0.9361183339224493,0.2548139314962495,0.2898629069004922,0.2304579536753178,0.1191640551987801,0.5544796950661454,0.0244182386558198,0.148717504331881,0.0182006576173874,0.4940935412042491,0.0928772254260174
downstream_metrics_PAS_leiden_std,0.0013456691014952,0.0121626673010252,0.0025218482883577,0.0075520100184027,0.0326383705109637,0.0157936253732125,0.0087435718626365,0.023498698468432,0.0102555584102309,0.0024183000553709,0.0062101224994942,0.0067662245974008,0.0064601779203499,0.0013358595399781,0.0090368408844643,0.0002248914300181,0.0030046544037916,0.0057397551182599,0.0087710520160518,0.001884977864542,0.0032774598667475,0.0044590960545196,0.006590230416448,0.0161347435382591,0.0016554747381115,0.0033675729941473,0.0017798229007952,0.0084982735998718,0.0183721859652358
