,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,INSTINCT,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_NMI_leiden,0.3262121576431583,0.0125259087729479,0.0076159100198279,0.4101594819554902,0.3833062660348507,0.1858827841983349,0.2410388498092694,0.4027975373821756,0.008194478987432,0.2492663758946538,0.2968373643577061,0.5297400430135647,0.5204777681657702,0.5048817181214348,0.3251786650720353,0.3338774993740851,0.0268391145218472,0.4435969416157299,0.5156833940960908,0.3308349573839311,0.5465693532927167,0.5788710675054463,0.5216996356341238,0.4932134817982245,0.5611355989766555,0.5979733941591285,0.5514388707211761,0.586806144548385,0.0106125292902093,0.4482429740827691,0.0491563036553465,0.3943519465807373,0.2908950159564568,0.5487487583410815,0.5275061520263916,0.1277209857943693,0.5980216563693993,0.010482880534425,0.4976936584844421,0.1861447206604575
bio_metrics_cLISI,0.9600995779037476,0.7514971494674683,0.7258220911026001,0.9653670191764832,0.9597216844558716,0.8888624906539917,0.8930079340934753,0.95000159740448,0.7363091707229614,0.8904810547828674,0.922560691833496,0.9841441512107848,0.9791805148124696,0.976135790348053,0.9721359610557556,0.960463047027588,0.8287323713302612,0.9542651772499084,0.9842219948768616,0.9430280327796936,0.9895868301391602,0.9922212958335876,0.9754021763801576,0.9743111729621888,0.9911059141159058,0.9924995303153992,0.985626757144928,0.9930292963981628,0.9601222276687622,0.9370793104171752,0.7730229496955872,0.9829091429710388,0.9016920924186708,0.9876840710639954,0.9890958070755004,0.7914031147956848,0.992634654045105,0.6833133101463318,0.9696232080459596,0.8349189162254333
bio_metrics_isolated_labels,0.5075131058692932,0.5272591710090637,0.5010814666748047,0.5906625390052795,0.5341815948486328,0.4893132150173187,0.4743871688842773,0.5236538052558899,0.4440677165985107,0.5048519968986511,0.5159620642662048,0.5890727043151855,0.5534283518791199,0.5170561075210571,0.5787593722343445,0.5515853762626648,0.3270705342292785,0.7044025659561157,0.7195199131965637,0.5237225294113159,0.6421888470649719,0.7056644558906555,0.5466172695159912,0.6345275640487671,0.6652510166168213,0.6776694655418396,0.6291292309761047,0.6717626452445984,0.7224560976028442,0.7707750201225281,0.4948032796382904,0.6873882412910461,0.5630494952201843,0.5901227593421936,0.5136585235595703,0.4526671469211578,0.6184196472167969,0.3952328562736511,0.5365514159202576,0.4728200137615204
bio_metrics_ASW_label,0.4513875842094421,0.472331166267395,0.4863281548023224,0.5084643363952637,0.5066506266593933,0.4735453724861145,0.4743416905403137,0.5022533535957336,0.4683646559715271,0.4594050049781799,0.5053562521934509,0.5119246244430542,0.5206615328788757,0.5192747116088867,0.4248166978359222,0.4466933012008667,0.3865151405334472,0.5277345180511475,0.504156231880188,0.4886190593242645,0.5217137336730957,0.5351781845092773,0.5302808284759521,0.5334895253181458,0.5482550859451294,0.5657540559768677,0.5333871245384216,0.5445010662078857,0.1944354474544525,0.4479715824127197,0.4654411077499389,0.5215758681297302,0.50164395570755,0.5144708752632141,0.52698814868927,0.3998266160488128,0.5374237895011902,0.429390549659729,0.5195626020431519,0.4549519717693329
spatial_metrics_moran_i_mean,0.8409767885613144,0.2052534252997428,0.0719861910277669,0.7612288306516626,0.495584962826506,0.1192620776087158,0.0990963486120006,0.5599691471980843,0.0056623223572311,0.1240491835302602,0.1296861304201129,0.1986126952719825,0.4482324246902253,0.2233071169276415,0.8702932910044733,0.6462841634171297,0.4007446922338888,0.7770163634507176,0.4172636616796958,0.6189408355033951,0.8552121148153113,0.7813071084388348,0.7709367813817884,0.4999567344612482,0.8301298938742223,0.557839639350975,0.5833458998624471,0.6895358855063077,0.0013907673128645,0.4681802079240425,0.194589959424117,0.6178516929354662,0.2393762781957817,0.5664787033174019,0.6218658370039155,0.6412160811206616,0.6730493550795985,0.0207029578601348,0.4129144146771685,0.2701193546063219
spatial_metrics_moran_i_std,0.0438718710486369,0.1085114390648064,0.0345218846062424,0.0704967676655242,0.1030628692119106,0.0198707150850017,0.0205465885179618,0.0315040461137237,0.0036813786549771,0.0268302234346072,0.0227150601101015,0.023745912578355,0.0407462508012547,0.025895016166973,0.0150564608811379,0.0609496260405233,0.0173706493099523,0.0521923015407399,0.0694133791741003,0.0504574111671792,0.0243635047357871,0.0560762465162588,0.1557372693570595,0.07468718992141,0.0379718069599003,0.0782128133956247,0.056097186834537,0.0339772854347293,0.0207112512619231,0.0501404570508241,0.0385372113434684,0.0384323797149071,0.0422218408241516,0.0231456114142151,0.0622168131176678,0.1229498042679858,0.0385128130506964,0.0149001097613878,0.0532489451580481,0.0367108254763869
spatial_metrics_greay_c_mean,0.146124308778575,0.7925034679006333,0.9256002027693137,0.2382494960161751,0.4973473564711186,0.8743096129363253,0.8954043960582131,0.4313343391272872,0.9867663529097248,0.8617059583638846,0.8647532785938582,0.791984916637444,0.5485932398157252,0.766164521711026,0.1515142095168773,0.3502595979654574,0.5986390787762433,0.2202576131048056,0.5749276521237189,0.3696242186965347,0.1381111076108171,0.2139494944501608,0.2235593003798596,0.4936446054687648,0.1678075768147634,0.4388129987657447,0.412546534742762,0.3077997414408545,1.0053040550576715,0.5209565466437218,0.8005298211358508,0.3752730588438216,0.7554429502828854,0.4214247230305488,0.3691853988445041,0.3525387938928253,0.3218479408791198,0.9757181126622898,0.5658979119284594,0.7291072701674501
spatial_metrics_greay_c_std,0.035859196447679,0.1090007666214827,0.0347644379288409,0.0655413737657413,0.0959373491422539,0.0188750636557917,0.0211591555771148,0.0288989720089892,0.0134021887437153,0.0317226581565724,0.0213360196530015,0.0237538115722445,0.038167368340931,0.0239686580822966,0.0201711165537468,0.0586230060125181,0.0169781470330321,0.0494639232012042,0.0654411103888312,0.0455273595695955,0.0201001074568508,0.0489571328431272,0.146796728875707,0.0698923044600794,0.0357632276972774,0.0718046948198877,0.0523142691281472,0.0304726533189269,0.0445727723266335,0.0496217509276244,0.0385962915500484,0.0388686632318819,0.0406418684066019,0.0234875404118145,0.0552772939266578,0.119668450738446,0.0376944714526551,0.0201603670525602,0.0466628796131567,0.0384012857432184
downstream_metrics_CHAOS_kmeans_mean,0.1599326890707016,0.260580668648084,0.3166364443302154,0.1703955535093943,0.1830601157744725,0.2805498437086741,0.2498958053191503,0.1663353186845779,0.3184402557214101,0.2326869618892669,0.2486669472853342,0.1711029982566833,0.1947599311669667,0.1893290628989537,0.2001940149068832,0.1939257862170537,0.2153491387764612,0.1604441819588343,0.1740307555596033,0.191191154718399,0.1559062538544336,0.1599109866221746,0.1628913734356562,0.1852636758486429,0.1743022020657857,0.1652277374267578,0.1719077523549397,0.157697435816129,0.1747071973482767,0.1849548387527465,0.2736641671260198,0.1485526782274246,0.2348621821403503,0.1631604013840357,0.1623021644353866,0.2258321970701217,0.1563269398609797,0.2531384686628977,0.1744478380680084,0.1917212559779485
downstream_metrics_CHAOS_kmeans_std,0.024563409620235,0.0395744897014193,0.0593628221597424,0.0254378251535063,0.0254490190355034,0.0600947463817902,0.0428199584633764,0.028025702333764,0.0621327517098079,0.0426673401718583,0.0370366485498995,0.0262665214359524,0.0325057434675674,0.0329856291018072,0.0398585227148817,0.0338369105996417,0.0442803834934863,0.0248829483565769,0.0298825463947295,0.0322053566071635,0.0228064037283442,0.025946251819484,0.0253601259089587,0.0342716238527229,0.0286663619078666,0.0267470296353105,0.0275112150094796,0.0227156238431236,0.0248888212010812,0.0281113186841431,0.0618385779442679,0.0206314801114388,0.0499052077710903,0.0269226599407948,0.0260490682727666,0.0493992488436636,0.0236165303902504,0.0580354713749374,0.0289647752166675,0.0352904539057922
