,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_CHAOS_mclust_mean,0.0137783025080959,0.0139618348330259,0.0154411733771363,0.014327756439646,0.0155216290925939,0.0168887631346782,0.0158172864466905,0.0138553325086832,0.0168022854874531,0.0164881404489278,0.0165177552650372,0.0160514488816261,0.0159435166666905,0.0156321500738461,0.0136752768109242,0.0138850975781679,0.014835906215012,0.0141156734898686,0.0138406477247675,0.014091151766479,0.0139710077395041,0.0136992766832311,0.0144720797737439,0.0143005835513273,0.0144469821825623,0.0142381271968285,0.016473460321625,0.0139032872393727,0.0138746121277411,0.0137666302422682,0.0136419891690214,0.0140601238235831,0.0141909609859188
downstream_metrics_CHAOS_mclust_std,0.000206071402664,0.0002366980493052,0.0002248020633546,0.0002306696954906,0.0003564531096435,0.0003384544283777,0.0002160027704394,0.0002823383528417,0.0003400555256095,0.0003243060588689,0.0002097729619748,0.0002695463857526,0.0003142503192388,0.000234869644508,0.0002496069952423,0.0002439341176661,0.0001935419433272,0.0002200411655084,0.0003268657848589,0.000184086818485,0.0002202356877909,0.0002707643251725,0.0002160360034605,0.0005012837911554,0.0002125366770924,0.0003198373793039,0.0002814499200475,0.0002548104445599,0.0002799559203701,0.0003114046208627,0.0002785634502838,0.000233036787828,0.0002876897941125
downstream_metrics_PAS_mclust_mean,0.029295032018333,0.0548246771988302,0.209821732039877,0.0790351946836306,0.1674541189490041,0.2253484510660809,0.1528027755691479,0.0345719620901068,0.210878809481473,0.2981440677656775,0.4025879952239597,0.2541509809351536,0.2028471799460492,0.2462781849332403,0.008079799721507,0.0488605710099537,0.1182427482546681,0.0823049259715133,0.0214267040380128,0.0763858243657832,0.045500692988052,0.006109768179175,0.0784387446578161,0.0507492243649331,0.1194727053124922,0.0312599215800552,0.291899674684772,0.0215270502463066,0.0442556345386878,0.0149996680437229,0.008029402358079,0.0536574277357714,0.0789581501494295
downstream_metrics_PAS_mclust_std,0.0126260439598922,0.0101559097104465,0.0153197430255593,0.0281249180840756,0.0164241930874595,0.0171000918096177,0.0426211131452507,0.0031548357294745,0.0269347289830962,0.0099487299207766,0.0055015020004297,0.0321438402880434,0.0300905918542828,0.0333070497018374,0.0006137916002985,0.0077399947992841,0.0292653099625167,0.0147304660763444,0.0033192839445153,0.0171207467164302,0.0152092253392449,0.0024802310037108,0.0393238584133531,0.0138242475439069,0.0210856265256278,0.0053399086354165,0.0456602038512113,0.002941721452098,0.0005912690480571,0.003402519728546,0.0010268011273813,0.0028252564941763,0.0051190628505616
downstream_metrics_CHAOS_leiden_mean,0.0136983819926778,0.0138303081815441,0.0162361475328604,0.0139835917701323,0.0142279518768191,0.0175146553665399,0.0153958887482682,0.014486354154845,0.0176477947582801,0.0225882461915413,0.0178680842121442,0.0148935606703162,0.0160677240540583,0.0148709078008929,0.0137168271467089,0.0138111151754856,0.0146511684482296,0.0141625121856729,0.0140763549134135,0.0140514383092522,0.014031128026545,0.0176932184646527,0.0144840870052576,0.0146147832274436,0.0146503581975897,0.0146333938464522,0.0178127891073624,0.0139575181528925,0.0138498060405254,0.0138627349709471,0.0136057032893101,0.0150935091078281,0.0141062525411446
downstream_metrics_CHAOS_leiden_std,0.0002644731154822,0.0002469888979843,0.0002494945109119,0.0002585955703485,0.0002879569422214,0.0003500127097515,0.0002832808013929,0.0001876985135912,0.0003239508863094,1.0662573972773572e-05,0.0003358955104834,0.0005611440846071,0.0004138866482626,0.0002285342332966,0.0002326611560057,0.0002267928828006,0.0002004289281881,0.0002672424081037,0.000224638129035,0.0002220197523177,0.0002667400538618,0.000293988399273,0.0002688510444386,0.0002918881429279,0.0002392153047468,0.0002402788674672,0.0001965352264836,0.0002631856733108,0.0002848895390623,0.0002820580863121,0.0002742536147592,9.91889473314756e-05,0.0002826923177516
downstream_metrics_PAS_leiden_mean,0.0117728589910182,0.0203380555058294,0.3009581902611795,0.0372650493524657,0.0103186949882842,0.5081246063433494,0.1378422272356738,0.1125930935001811,0.5013840081856533,0.6035253483177573,0.6074038067830224,0.1196857656371697,0.2342862526009687,0.0968609219763789,0.0066015023012945,0.0234525916739241,0.0952193473600142,0.0675223856327044,0.0562939338857188,0.0594312612481107,0.0450958406819921,0.554728790222434,0.086180704056241,0.0784053034840873,0.1451991224421641,0.0595832893045019,0.4741925005720186,0.0154568841043152,0.0443653122306855,0.0237810286713513,0.0043070006716013,0.099110840137159,0.0773858336868797
downstream_metrics_PAS_leiden_std,0.0020840693942043,0.0058477813587711,0.054305915026638,0.0145856542496946,0.0018234069725737,0.0164037362156882,0.0289101948267017,0.0240268822779284,0.0286093362521291,0.0632882795618708,0.0477055454064944,0.0330443889344762,0.0127057571747832,0.0355582475968815,0.0007214056976915,0.0054498820576946,0.0254391506097288,0.0033553790794566,0.0159156176521851,0.0137107041796194,0.0112784829703858,0.0227124630517494,0.0277580950187068,0.0060632896541475,0.0557217300555992,0.0124588462031709,0.0984565771519309,0.0036329095315979,0.0010691779087508,0.0016594706080554,0.0003132035841496,0.0234256299028205,0.0036782204094137
downstream_metrics_average_confidence_score_mean,0.9849840998649596,0.96355402469635,0.8182753324508667,0.6511461734771729,0.6658838987350464,0.8485115170478821,0.8978677988052368,0.9643505215644836,0.9059115052223206,0.9892920255661012,0.7758980989456177,0.7216979265213013,0.9317408204078674,0.8516924381256104,0.8702656626701355,0.9223106503486632,0.9868407249450684,0.9575046300888062,0.9900399446487428,0.9753185510635376,0.8940751552581787,0.9995565414428712,0.9901837110519408,0.999597668647766,0.973983347415924,0.9871656894683838,0.9910506010055542,0.7789563536643982,0.9952265620231628,0.7913771867752075,0.9910286664962769,0.9696259498596193,0.9671735167503356
downstream_metrics_average_confidence_score_std,0.0041397809982299,0.0076989531517028,0.0037174522876739,0.0007823407649993,0.002406895160675,0.0021377205848693,0.0022281110286712,0.0037532448768615,0.0014837384223937,0.0002490580081939,0.001908928155899,0.0040706694126129,0.0050446391105651,0.0030547082424163,0.0280265808105468,0.0097217559814453,0.0002574324607849,0.0040951073169708,0.0006907880306243,0.0017878413200378,0.0004989504814147,0.000302106142044,0.0027854144573211,0.0002008974552154,0.0020936131477355,0.0091505050659179,0.0003582835197448,0.0339276790618896,0.0003033280372619,0.0124149918556213,0.0016136467456817,0.0016604661941528,0.0024707913398742
