,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,Scanorama,Harmony,STACI,INSTINCT,stClinic,STAligner,STAIG,STAGATE,SPIRAL,spCLUE,SpaVAE,SpaBatch,SEDR,scNiche,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_average_matching_rate_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bio_metrics_geometry_cell_distance_corr_mean,0.0327145627799774,0.0721766258630077,0.0054589920315628,0.0540273977058788,0.0170110921275545,0.0041273422807676,0.0046149979000895,0.1114569693644973,-0.0003740547177624,0.0192526945315296,0.0119427612912109,0.0991094818119694,0.0039733367564696,0.004753386502369,0.0507439884813554,0.0118037442690728,0.0242930274565465,0.0154377263662615,0.0747415456597224,0.0158693579442004,0.0953491383374616,0.0220969542085476,0.0624620496867809,0.0243025047210615,0.0046216779885915,0.0207352596490899,0.1533700632349291,0.0175140339547566,0.0454041335117206
bio_metrics_geometry_cell_distance_corr_std,0.0154791895733105,0.0176679186864072,0.0007171552750209,0.0045878026733649,0.0004749124991054,0.0004931727636528,0.0012626220933954,0.0012432035173968,0.0014287968359222,0.0050425170107662,0.0029877170691792,0.0148623453523973,0.0010283744252704,0.0030478017758941,0.0022068275607495,0.001334500413194,0.0078884340244428,0.0131988550171963,0.0089625908106355,0.0021805200882582,0.0081810315871217,0.0054951239196237,0.0057036694970558,0.0180613925124934,0.0011903781983905,0.0068784456367088,0.0349089111792271,0.0007916602108484,0.0130188446885462
bio_metrics_geometry_truthworthiness_mean,0.6912379311614685,0.6288955110314252,0.5077432834923103,0.6597258610231242,0.5163449905503248,0.5037729326288246,0.5044976383596785,0.8601343155979859,0.5059745722986089,0.5866448136407789,0.5501874455127266,0.5743970036927348,0.5238091761307717,0.5092951038013275,0.565373712231789,0.5271975998702083,0.5261876117740787,0.5313530922445303,0.5555001893975853,0.6261692578543624,0.6720026041496927,0.5502336067276228,0.6791616845164352,0.524678586085544,0.5091439082309561,0.5379841421714562,0.7400747853304548,0.5148647506057656,0.542212531139759
bio_metrics_geometry_truthworthiness_std,0.0024936183109868,0.0003804388982344,0.0003585926366173,0.0017354655155064,0.0036892881839337,0.0007290249492187,0.0003666016699815,0.0009399029226516,0.0004862157790044,0.0020063653652778,0.0016333839656278,0.0062709957017459,0.0039955573223344,0.004449161279755,0.0039339864563915,0.0033700797327531,0.0024626072131831,5.629074321344962e-05,0.0111238542917276,0.0045822500520883,0.0082508838185713,0.004863735689875,0.0018443947887438,0.0062487242435224,7.197581691426036e-05,0.0042031556383462,0.0074458409429642,0.0006229477221728,0.0026608692379677
bio_metrics_geometry_truthworthiness_decay_mean,-0.3224193824675762,-0.1215126810358803,0.00786055517512,-0.2523288346263667,-0.0040913245451769,0.0057119441373592,0.0079326942844259,-0.230835339381587,0.0066043678574922,-0.1383146763307349,-0.0855757474913966,-0.0513186859644098,-0.0468767568651728,0.0046083662734921,-0.0259045378448826,-0.0066869193929659,-0.0048635068085525,-0.0069492314100078,-0.0021664674487534,-0.2022574311254599,-0.147070076154189,-0.063792235682648,-0.2258806175024515,-0.0053327844037075,0.005332440237184,-0.0109435434404276,-0.0775909517239235,0.0037212950856354,-0.0221751394098508
bio_metrics_geometry_truthworthiness_decay_std,0.00177760385238,0.0060048919210886,0.0018092335563845,0.0060400913478197,0.003261402726534,0.0015583574412793,0.0020286259854393,0.0052988723112644,0.0037365287031443,0.0010871532016133,0.0015912009357833,0.0019794405198693,0.0003000339481711,0.0015013813130792,0.0023986154751144,0.0021341099786771,0.0018003295968368,0.0058924648562988,3.391024253851494e-05,0.0090722854056912,0.0011562518904906,0.0097203980009799,0.0009690024683701,0.0006178369275648,0.0020702336433369,0.0005822706631562,0.0062467056903346,0.0030367097458489,0.0008864069432281
bio_metrics_scgraph_scGraph_Rank_PCA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8999999999999999,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.95,1.0,1.0,0.95,1.0,1.0,1.0,0.8999999999999999,0.8999999999999999,1.0,0.85,1.0,1.0
bio_metrics_scgraph_scGraph_Corr_PCA,0.9926873976865926,0.9787743630912968,0.9936561856175722,0.9932681260951676,0.9952597143627429,0.9959346063042716,0.9935978756811892,0.981778122529443,0.9897808089160928,0.989287413280023,0.9842275246857672,0.9242268529672136,0.9572917700022704,0.9845370438517866,0.951064977846548,0.9622215696933054,0.9671248835803484,0.984030168685882,0.9328383398350898,0.9982251392203398,0.9820710261335476,0.9809344200509036,0.9795677555124528,0.8869030792470052,0.9667752276586792,0.9921575515464228,0.9218056541693572,0.9793846953454892,0.958759284952305
bio_metrics_scgraph_scGraph_Corr_Weighted,0.9977349948382438,0.9860561333810438,0.992528625690437,0.9729268026487148,0.969990844918327,0.9731556366088896,0.9668574703436024,0.9641436204934202,0.9247375209694214,0.9941718734675764,0.974332675660504,0.9585627121182866,0.5530829472074986,0.963916015705694,0.9760813117155298,0.9632701969782516,0.9586867340369336,0.980699466817945,0.9497422931535288,0.9983966109562626,0.9495031318965088,0.9754756235965348,0.958935652109662,0.9337739703931712,0.9145876500966232,0.9878992821374972,0.8300550774956756,0.9653788914995166,0.9484759539393792
