,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
spatial_metrics_greay_c_std,0.0269528659956482,0.0150345147130133,0.0003258818914796,0.0133397250765219,0.0049400240338879,0.0016280190298004,0.0076657101676903,0.0048589926451982,0.0021799008400057,0.0035494221391602,0.0006196073597535,0.0081106983538931,0.0036499744954366,0.0041665121640446,0.005933848531348,0.0174185506981887,0.0187484013793075,0.0397059356280309,0.0074851692261146,0.043713161866298,0.0054493341455798,0.0026756037475683,0.0330334388620521,0.029594771169658,0.0512075046422418,0.0319446293545349,0.0708369604491844,0.0320302519788912,0.090316948103948,0.0216058938971606,0.0119988234376757,0.0002449821827022,0.0008365136912782,0.0399880206943522,0.0286496385656789,0.042615703195699
downstream_metrics_CHAOS_kmeans_mean,0.0102032525464892,0.0108144404366612,0.021407164633274,0.0125003866851329,0.0216998057439923,0.0202679904177784,0.0206925328820943,0.0130594568327069,0.0239059757441282,0.0220874343067407,0.0204230584204196,0.0203498667106032,0.0204387614503502,0.0203719045966863,0.0102406227961182,0.0107477447018027,0.0201916517689824,0.0128852133639156,0.0110284513793885,0.0136879584752023,0.0175680229440331,0.0141935818828642,0.0124452342279255,0.0115559031255543,0.0163342547602951,0.0182728897780179,0.0116688725538551,0.0200969101861119,0.009446658194065,0.0099497907795012,0.0104396152310073,0.0090277250856161,0.0135105280205607,0.0111596398055553,0.0202967599034309,0.0094257104210555
downstream_metrics_CHAOS_kmeans_std,0.0008510798215866,0.0008557401597499,0.0020409431308507,0.0012471191585063,0.0016869707033038,0.0018024230375885,0.0017597153782844,0.001016192138195,0.0022550374269485,0.0022764652967453,0.0016951635479927,0.001095357351005,0.0019334452226758,0.0019688382744789,0.0008396748453378,0.0010151248425245,0.000506735406816,0.0014144326560199,0.0012071444652974,0.0020726663060486,0.0009426129981875,0.0005348385311663,0.0004386394284665,0.0005063745193183,0.002014563884586,0.0025027729570865,0.0016816775314509,0.0017043454572558,0.0009384714066982,0.0007365611381828,0.0008651842363178,0.0006203483790159,0.0018741646781563,0.0008471058681607,0.0013669710606336,0.000533225480467
downstream_metrics_PAS_kmeans_mean,0.0996727868698313,0.1395614728145353,0.7963811307130725,0.2734783135565173,0.7108171597067634,0.7340320392579462,0.6829099692043543,0.3219113702204877,0.9270586796021912,0.7123147094672008,0.6689169270622777,0.587176558310438,0.6399427888122986,0.6049876014403208,0.144759519724928,0.1621182552428393,0.5388773506041208,0.3693316637932392,0.1653419677586575,0.4347922671692946,0.4516858007146405,0.3619813390489295,0.208237787855528,0.2153668440141638,0.4896985628490256,0.5572583038671708,0.2071455191458257,0.5746142794092883,0.0325029358531983,0.1559323876540485,0.0838778650048724,0.0177986713962841,0.30244477147912,0.2080607298031571,0.5697511246932937,0.0393892222989471
downstream_metrics_PAS_kmeans_std,0.0106569991640873,0.0018560616160995,0.025827721240449,0.0458162376411662,0.0034505594736194,0.0457972391235827,0.0564669202817055,0.0087395529547839,0.025710846212873,0.0406653980798981,0.021942159266241,0.1155862901947684,0.0303838823331498,0.0065970475351578,0.0065961001750456,0.0348508719710892,0.114968803242033,0.0316385163293494,0.0422314538184492,0.1053498754998287,0.0574467152410196,0.0127413323307568,0.0136627122760855,0.0340033272992388,0.0436748812904095,0.0508340512638788,0.0549159255952715,0.0166478972786525,0.0169461672942464,0.0167822364951637,0.0098310057505895,0.0049381441898764,0.0650203509215117,0.0139118936432654,0.0335197856191012,0.0061473917420336
downstream_metrics_CHAOS_mclust_mean,0.0093080531805753,0.0106638087891042,0.0212987856939435,0.0114065622910857,0.0200321283191442,0.0215067276731133,0.0204149773344397,0.0116183110512793,0.0233058566227555,0.020887135528028,0.0192296942695975,0.0199836501851677,0.0194916101172566,0.0196192478761076,0.0093358941376209,0.0099144871346652,0.0199791444465518,0.0122178578749299,0.0097984503954648,0.0120484605431556,0.0190549986436963,0.0140829938463866,0.0123345437459647,0.0150795704685151,0.017008451744914,0.0178248505108058,0.0116403470747172,0.0202502366155385,0.0095374193042516,0.0094974972307682,0.0100402543321251,0.0090246852487325,0.0097110541537404,0.0109923854470252,0.0197253646329045,0.0093969777226448
downstream_metrics_CHAOS_mclust_std,0.0006456831470131,0.0006336127407848,0.002198708243668,0.0013125957921147,0.0016174912452697,0.0015645483508706,0.0014000562950968,0.0008361092768609,0.0023472150787711,0.001712298952043,0.0018267361447215,0.0009471951052546,0.0021389694884419,0.0023500537499785,0.000467381440103,0.0005404013209044,0.0012183925136923,0.001169228926301,0.0008783042430877,0.0014845989644527,0.0014842664822936,0.0017688483931124,0.0017345272935926,0.0019264915026724,0.0011052936315536,0.0023018871434032,0.0016238079406321,0.0018407441675662,0.0008156606927514,0.0006415480747818,0.0010042292997241,0.0005648285150527,0.0009853141382336,0.0008017122745513,0.0016506081447005,0.0003324840217828
downstream_metrics_PAS_mclust_mean,0.0283756411306927,0.1234534077749541,0.7307090173499657,0.1914711764864816,0.6625135238813884,0.7212014778413544,0.6860297697367985,0.1817174113742404,0.8643170846158431,0.5748113725490989,0.5597236072451626,0.6793898971825018,0.5747953886103391,0.5891436789524915,0.043939364102335,0.0912551796440454,0.655315820824822,0.2853718541123279,0.0567438052216998,0.2261531479652327,0.5600474650626537,0.3164458393402806,0.243166407697359,0.4429092312424055,0.6079750474756889,0.515776172029405,0.205100492344945,0.6059784710393467,0.0403015885075416,0.0883252134992853,0.0430901268137509,0.016971574702989,0.0743068938157481,0.1921456787286366,0.5460640630991855,0.043438550073685
downstream_metrics_PAS_mclust_std,0.001940112984188,0.0115818626314953,0.0175330012263513,0.0519011395365319,0.0066099296590169,0.0471895198072852,0.0774485641563825,0.015733881873996,0.0230968965070087,0.0549753254690401,0.0317275180487575,0.0829547450748042,0.0373205817578029,0.031997222788568,0.0262655401637045,0.01875489761494,0.0606104472302669,0.010871518203695,0.0084989278283508,0.0454972863595895,0.0424676508258245,0.1911121048988862,0.1280967066560422,0.0757610955353179,0.0588455773143682,0.0895710998090488,0.0527869216361778,8.327453279644015e-05,0.0111405203180891,0.0110242393642501,0.0157975503945369,0.0100900645311392,0.0328641662376493,0.0186789769650146,0.0322446369344053,0.0286978288312528
downstream_metrics_CHAOS_leiden_mean,0.0091375862248241,0.0099983378313481,0.0201692646369338,0.0112897874787449,0.0207756394520401,0.0190073959529399,0.0199741972610354,0.0127217145636677,0.0228088274598121,0.020724861882627,0.0182870347052812,0.0190229024738073,0.0199315007776021,0.019745010882616,0.0091484240256249,0.010051161982119,0.019158124923706,0.0112818949855864,0.0102561777457594,0.0120805776678025,0.0183749599382281,0.0138566521927714,0.0142562557011842,0.0113691883161664,0.018443139269948,0.0171044627204537,0.0117826489731669,0.0201051123440265,0.0101541322655975,0.009306373540312,0.0099204713478684,0.008942637592554,0.0169585607945919,0.0106193027459084,0.0191344283521175,0.0092962891794741
