,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,CELLama,Scanorama,scVI,Harmony,STACI,stClinic,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_NMI_leiden,0.4980336703061947,0.4710656644392907,0.4591325297395442,0.5051804272637919,0.5074394235022346,0.226980276688323,0.2297538894406606,0.5422784309381548,0.5096771764491702,0.522309716271671,0.4788048459200074,0.5096819436042972,0.523326215035732,0.5129713975834893,0.5060697366347063,0.5824401371605388,0.5754842002816422,0.4883204022319861,0.5860580567492231,0.4487344330340754,0.553843158478742,0.57616035537308,0.5737764823193168,0.0837108596331022,0.433544200740955,0.3362284617319486,0.4522267517851273,0.5658355194323716,0.5613102845670553,0.539919741834213,0.4507568903320888,0.5393279195258466,0.0603551101717004,0.5139281740101658,0.5127986640429228
bio_metrics_cLISI,0.98112291097641,0.9715846180915833,0.9568474888801576,0.9854936003684998,0.9819626808166504,0.9309156537055968,0.9198161959648132,0.9743036031723022,0.9686336517333984,0.9691897630691528,0.9799643754959106,0.9739806056022644,0.978599488735199,0.9715669751167296,0.981250524520874,0.9878907799720764,0.9864277243614196,0.9682051539421082,0.9877959489822388,0.9628382921218872,0.9843637943267822,0.9847806096076964,0.9864654541015624,0.8155372142791748,0.9527870416641236,0.932136058807373,0.9789741635322572,0.9865392446517944,0.9883180856704712,0.9837977886199952,0.970312237739563,0.9835996627807616,0.808146595954895,0.976314902305603,0.9708003401756288
bio_metrics_isolated_labels,0.6944224238395691,0.5090889930725098,0.5077523589134216,0.5751787424087524,0.5359841585159302,0.4042162001132965,0.4643536508083343,0.5276750326156616,0.548699676990509,0.49017995595932,0.6411317586898804,0.5439335107803345,0.5394976139068604,0.5106866359710693,0.5566409826278687,0.5744135975837708,0.6086994409561157,0.5438694953918457,0.5014057159423828,0.6047848463058472,0.5806482434272766,0.5560293197631836,0.5479393005371094,0.4364670217037201,0.3693892359733581,0.4916241765022278,0.6088798642158508,0.6155049800872803,0.5457659363746643,0.4967199862003326,0.6422867774963379,0.5647624731063843,0.4892087578773498,0.4748004972934723,0.5413669943809509
bio_metrics_ASW_label,0.3570497632026672,0.466154009103775,0.4885444045066833,0.4845138788223266,0.4754964411258697,0.2388488352298736,0.4490758776664734,0.4727655351161957,0.489938884973526,0.4733139276504516,0.3828912377357483,0.4478410482406616,0.4712468981742859,0.4566910564899444,0.4565941989421844,0.5085901021957397,0.4852744936943054,0.4264887571334839,0.4718339443206787,0.3366754651069641,0.4870099723339081,0.504978358745575,0.4729346036911011,0.3951180875301361,0.369796872138977,0.4353745877742767,0.4830845594406128,0.4699354171752929,0.5089545249938965,0.4424132406711578,0.3349213004112243,0.496645838022232,0.4088857173919678,0.443267673254013,0.4319668710231781
spatial_metrics_moran_i_mean,0.911229056563714,0.8969816101397786,0.362277243066859,0.8040030957766162,0.5189259419377555,0.4741209642031089,0.1351556734289553,0.2728017753554358,0.5887473762825238,0.3386698580452051,0.9242935808120176,0.8658157452567234,0.6726934712188206,0.8320946347926425,0.9185694781046996,0.8796682029322227,0.8160599973365713,0.6377517237413318,0.9011928939863162,0.4782186773899655,0.7321923777231508,0.6598087552493476,0.7618889908818124,0.1974900465693108,0.644652035651234,0.8244926575473456,0.7421403817002169,0.7681788768849347,0.7578209570976245,0.8534041580679999,0.9177048230106486,0.8055093525566691,0.1253825390209078,0.5629019325310218,0.6134946533211485
spatial_metrics_moran_i_std,0.0229779855537649,0.0255718029146892,0.0798014283349533,0.027450591615436,0.0668985522727585,0.0340671776442067,0.0615413612566518,0.0735013886975483,0.0521193483080752,0.063250397232293,0.0262091747973348,0.0281755140418108,0.0708149717058955,0.0355636697847061,0.0214528315528349,0.0243728024415377,0.0420468768639638,0.0453622522480862,0.0244404521855999,0.0387768038089695,0.0561100261224136,0.0285440222610424,0.0327120580133932,0.0786906555915074,0.0589203049463747,0.0238749666008577,0.0581455261356883,0.0296446681749,0.033799014166875,0.0326613278197837,0.0206800475240239,0.0266313970983226,0.0313019075197703,0.0290705453121522,0.0273194110005809
spatial_metrics_greay_c_mean,0.0835662761273452,0.1027809579856969,0.6377412603263309,0.1955415831777125,0.4787853489637411,0.5034598136264266,0.8615843569851229,0.7242610629134999,0.4075736489693514,0.6566235738658291,0.0917746896488188,0.13353937460752,0.3290061712662244,0.1701472160662782,0.078764051106387,0.1208444378504575,0.1851889547054662,0.3400297722470292,0.1028063812885976,0.5144184203300588,0.2683393116056784,0.3371734694121029,0.2322669771839778,0.803282434712624,0.3517663037999907,0.1734216025817469,0.2499474980940728,0.2314800958330092,0.2343637723343072,0.1430444029355676,0.0808870790008477,0.1933831391258746,0.8748551648026363,0.4163743059065192,0.3835109118843474
spatial_metrics_greay_c_std,0.0199083011020861,0.0251830895161797,0.0799119311712332,0.0250628393357556,0.067984982127406,0.0265800972704106,0.061755197388704,0.0743788095452359,0.0523049997334287,0.0644198411123488,0.0208803837177513,0.0278775774673019,0.0682864516057885,0.0342322677887913,0.0183218320790354,0.0228977114354186,0.0414575626745674,0.0503130263749823,0.0252750502194015,0.040150260321619,0.0553857700686975,0.0272001170838946,0.0284502301668486,0.0800532827990654,0.0605605390347044,0.0238758501284558,0.0568258714841063,0.0294716188544942,0.0324881824168016,0.0260495324806575,0.0184345250487687,0.0267324609348316,0.0308469578175886,0.0226516658802097,0.0298595810532142
downstream_metrics_CHAOS_kmeans_mean,0.0412070238962769,0.0450117584938804,0.0779334114243586,0.0426701409742236,0.0564947159339984,0.0500341206789016,0.0980198954542477,0.0539762383947769,0.0692095657189687,0.064089718585213,0.0459673407798012,0.0458851878841718,0.0590621077766021,0.0448643714189529,0.0442709848284721,0.0434916503727436,0.0437458837404847,0.0480797992398341,0.0489280034477512,0.0468897776057322,0.0487255578239758,0.051423222447435,0.0505364813531438,0.0841993478437264,0.067768782377243,0.0456347046419978,0.0407707722236712,0.0437781425813833,0.0429245894774794,0.0466475418458382,0.0408324279511968,0.0436048271755377,0.0809274110943079,0.0546639102200667,0.0402824273332953
downstream_metrics_CHAOS_kmeans_std,0.019478603298588,0.0238873858690999,0.0403302046903691,0.0205020440092671,0.0255864740089056,0.0212100767505153,0.0427775237691341,0.0209762804876722,0.0322325873529001,0.0319747629660159,0.0197902920499064,0.0231704888640001,0.02862327122654,0.0209987370466864,0.0228457209666449,0.0209666049420847,0.0205125157693751,0.0167776233634372,0.025248797436992,0.0227963574152905,0.0213174356796953,0.0242718224164025,0.0210558932560892,0.028876856169984,0.0283303842420493,0.0205542972722636,0.0202208209595844,0.0206636040202151,0.0205645875175318,0.0217687170024649,0.0197706587586941,0.0208594929415469,0.0296026818322954,0.0259741243192166,0.0199054036224837
downstream_metrics_PAS_kmeans_mean,0.1009135301097625,0.1715924364986828,0.7007191718003226,0.1246639968265774,0.3607762322504734,0.2422148103612609,0.8854418281837434,0.3990684069407486,0.4956405279968261,0.5147953442798082,0.2724494481287706,0.2507581423157394,0.4824541315640983,0.2605904847720044,0.1944531069471868,0.1859096771262248,0.1640017168417352,0.2510579459079294,0.2432845860587674,0.2148888332300629,0.2811503594276579,0.3811536592177576,0.2542784996938754,0.7527790251057893,0.5829163694577603,0.1867210343579687,0.0584604718764391,0.1682353288372896,0.1423765159937139,0.2438585237730721,0.1487239533099475,0.1404008100686478,0.8964396986067044,0.3040416375884955,0.0781419097216302
downstream_metrics_PAS_kmeans_std,0.0425804853532443,0.0750773749967639,0.0960428059829742,0.0184744333004263,0.0440783206098892,0.0328938518208967,0.0781794113426076,0.0960312230986451,0.0840119435695284,0.0788395073825289,0.0723224326802081,0.053052678132466,0.0479935359876724,0.0493443307418442,0.0552485385736042,0.0300057454115274,0.0498968413843545,0.1528670487360797,0.0408057243585754,0.0683915425543744,0.0448990909205348,0.0561171704021662,0.0487610280040905,0.1582250112340272,0.0676595801908867,0.015534326644556,0.0177056043355413,0.0413328925546824,0.0339646034417667,0.0663329480495927,0.0377125204157205,0.0341574666651902,0.1002786642871041,0.0478037471331692,0.0204495456455913
downstream_metrics_CHAOS_mclust_mean,0.0395790782446662,0.042494353527824,0.0772126118342081,0.0419934416810671,0.050801275918881,0.0456587451820572,0.0951505787670612,0.0537106121579806,0.0624650542934735,0.0618573141594727,0.0396717352171739,0.0457041384652257,0.0575928017497062,0.0449757470438877,0.0415282171840469,0.04278641504546,0.0414408150439461,0.0474514507999022,0.0473608672618866,0.0541748230655988,0.0465878940497835,0.0432581594213843,0.0443799784407019,0.0813670357068379,0.064018905783693,0.0419276651615897,0.0408475662892063,0.0434041957681377,0.0443029518549641,0.04535780629764,0.0392831896121303,0.0412436658516526,0.076945756872495,0.0542724722375472,0.0404431531205773
downstream_metrics_CHAOS_mclust_std,0.0189881786020765,0.0218319954318092,0.0419609079300947,0.0199725170729869,0.021448852185628,0.0197495950672821,0.0407641455770454,0.0207586980310611,0.030388667406158,0.0295695441139834,0.019607371104179,0.022070205451741,0.0261882237211343,0.022558668945978,0.019938062890733,0.0209155281945996,0.019026278295787,0.0169812559523556,0.0234393986846743,0.0267230031217237,0.0199609065791314,0.0188631538465285,0.0189519891217048,0.0271683807805097,0.0265805856982818,0.0203842815620267,0.01957597882915,0.020743736651994,0.0228320839667048,0.0209515618869928,0.0189911855471326,0.0200478862869105,0.0286975936961122,0.0258013725813572,0.0198975857924422
