,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,Scanorama,Harmony,STAGATE,SPIRAL,spCLUE,SpaVAE,scNiche,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_average_confidence_score_std,0.0009831190109252,0.0005348026752471,0.0007731616497039,0.0082040429115295,0.0036863684654235,0.0015768706798553,0.002272605895996,0.0021086633205413,0.0050534904003143,0.0002967417240142,1.222258561028866e-06,1.3738903362536805e-05,0.0100924670696258,0.0020194351673126,0.0016270279884338,0.0007158815860748,2.104043960571289e-05
downstream_metrics_slice_wise_average_PCC_mean,0.335773136555213,0.2614021602070123,0.8760165340943242,0.3942380017084381,0.8722749633416287,0.8978621444159307,0.8892796741926323,0.4188903690314833,0.7586362589862139,0.7151056427720455,0.5034391445791642,0.4448873920137416,0.2813337572944229,0.5394240511635571,0.2842752978296053,0.8347806524126011,0.059494640537337
downstream_metrics_slice_wise_average_PCC_std,0.0159113726429646,0.0210755915111524,0.0003826974454786,0.0250950694340861,0.0001098779840268,0.0008985867357049,0.0014976833426572,0.0241153234908882,0.0044697217321788,0.0011509782821624,0.0016482802246592,0.011026053893131,0.0244677679878818,0.0126148584944841,0.0181418240488199,0.0022804771218912,0.0018240743366837
downstream_metrics_average_matching_rate_mean,0.7916760081734165,0.7878934627263289,0.6918130087485959,0.7772622379153943,0.6856848312337116,0.7010226875166943,0.6940002859107701,0.7760765737978241,0.7812518636951438,0.7791315138327075,0.6005137516481579,0.7943715085564769,0.8203708063630021,0.7490364409455291,0.8142345763442186,0.7568836159444807,0.3341624107262312
downstream_metrics_average_matching_rate_std,0.0121445594188934,0.0186246941244492,0.0073996857890909,0.0131680336744745,0.0076810521962547,0.0071494211192532,0.0049804891884059,0.0112166822290296,0.0080188107021708,0.0126414492432765,0.0183937857335937,0.0130987386208193,0.0149541860080689,0.0088884903941107,0.0124117465120523,0.0085848002898799,0.0027432957125847
bio_metrics_geometry_cell_distance_corr_mean,0.2135454938431071,0.1891700328425725,0.1189465463185871,0.1919320702793324,0.0961460075852861,0.1086540683289487,0.1099207084811948,0.1859240388756214,0.2006752331533331,0.1963097995919915,0.0916826157610272,0.1941310735796932,0.2397672352235225,0.1419934604178094,0.2098683287319009,0.1459079588872157,0.1830394850280587
bio_metrics_geometry_cell_distance_corr_std,0.0248169237779733,0.0307395485802969,0.0124477297030679,0.0200975382578997,0.0088081364020976,0.0156170462579221,0.0136415492275515,0.0188381043471069,0.019732458783745,0.0340241070660687,0.0197341985067207,0.0309212945797311,0.0109335090444227,0.0090435388292297,0.036747987583453,0.0171876862789622,0.0193267197089604
bio_metrics_geometry_truthworthiness_mean,0.8108051165592794,0.7559092626430575,0.6023813161463162,0.7152175669281867,0.6031490772222003,0.6056686136708096,0.6017424954154301,0.7033716299979477,0.6903156137202995,0.6589432132732856,0.5981552336562611,0.6788359469318083,0.86296281954594,0.6189824945529039,0.7662712605640655,0.6286547469717011,0.7265358441198441
bio_metrics_geometry_truthworthiness_std,0.0022601614280824,0.0023214967179646,0.0020391771894083,0.0050579783646642,0.0028469025767511,0.0023340825500107,0.0032897228681865,0.0065684779756309,0.0060062311948175,0.0047219015048833,0.0018582564459504,0.0036971494835484,0.0076273694553908,0.0034574325247597,0.0064032046831647,0.0030374105125206,0.0012485339812814
bio_metrics_geometry_truthworthiness_decay_mean,-0.1891392923882011,-0.104120813285106,-0.0247476230906904,-0.1091531600191714,-0.0279239675185743,-0.0282396735168499,-0.0274020578991465,-0.1040244455444893,-0.0575160866970939,-0.0429212010995143,-0.0166421000807514,-0.0239385259632875,-0.1294728263068821,-0.0306563681785654,-0.076826695636034,-0.0341225540704923,-0.1060401456431708
bio_metrics_geometry_truthworthiness_decay_std,0.0096862028152141,0.0099323119245079,0.0016056538616407,0.0097878510374862,0.0008750980440606,0.0011320265662232,0.0008639082517309,0.0084289871127783,0.004469882746295,0.0032277403457813,0.001666094713084,0.0017701316291809,0.0020614591111426,0.0024413580961836,0.0029922748886893,0.0012756488182363,0.009407666316768
bio_metrics_scgraph_scGraph_Rank_PCA,0.9079999999999998,0.6799999999999999,0.9099999999999998,0.948,0.9599999999999996,0.906,0.962,0.9419999999999998,0.8819999999999999,0.8539999999999998,0.8459999999999999,0.8799999999999999,0.9119999999999996,0.9479999999999998,0.8320000000000001,0.9499999999999998,0.828
bio_metrics_scgraph_scGraph_Corr_PCA,0.9507563298172408,0.8621376965600401,0.9682371420492196,0.9755253070749722,0.9784631007918176,0.960577590155476,0.9786142867995156,0.9758087253077188,0.9494472609637062,0.9356558235014758,0.905264445178781,0.9554456143309986,0.9667413890400252,0.9708275842777588,0.928664765983634,0.9768789947246564,0.9317829893888444
