,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,INSTINCT,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAIG,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_PAS_kmeans_mean,0.1899200797123466,0.0442893363636557,0.3970966398074622,0.0801303966611013,0.3197242450946241,0.7090231583165675,0.5824055359934449,0.1736115707345006,0.7906496409235242,0.5907888333758446,0.5539632127561886,0.4363737389142148,0.3676150446349212,0.3074472010627456,0.2519452377550862,0.0817738958290391,0.4829245472013948,0.0631095318791891,0.2915932365841907,0.1221818653446607,0.0507337764646819,0.0825712507459843,0.0967549569663703,0.0798978296379007,0.2288839698390189,0.1213685857278815,0.0573114294945666,0.1027378605598082,0.2163895312818504,0.1502816061860421,0.1997914415161159,0.2007171099624843,0.1762059663532774,0.0237003315531673,0.2362603045944435,0.0345660961231818,0.0706526325387431,0.2023483974602789,0.0461245862708119,0.0194325327796762,0.0626349576609237,0.1007838543817691
downstream_metrics_PAS_kmeans_std,0.0202466099879932,0.0039750195538679,0.0222279171483615,0.0035200289427809,0.0200814041356238,0.024232373820453,0.0269671267035712,0.0146370013522849,0.0267662043706306,0.044597493951269,0.0542998710906695,0.0171437465832927,0.0200099768534817,0.0277253222784311,0.0328107700498708,0.0050763276501186,0.0545167071781522,0.0102853257178359,0.0259486647790811,0.0129297521668723,0.0093156065838689,0.0024329375282657,0.0067605034260393,0.0053819034315607,0.0116860405786511,0.0072009222844139,0.0012146799165244,0.0084120921294988,0.0109067646353998,0.0180179299278861,0.0431224692816727,0.0183194441019154,0.0036299772285128,0.0053766303685443,0.0065765967893331,0.002399143347633,0.0034142914213562,0.0097318780365127,0.0054204666176612,0.0004549748774686,0.0070408417406724,0.002918244385887
downstream_metrics_CHAOS_mclust_mean,0.0616043908521533,0.0612512286752462,0.0729296002537012,0.0609240159392356,0.0654031410813331,0.068512238562107,0.0683162789791822,0.0620878860354423,0.0791941117495298,0.0692425295710563,0.07019704580307,0.067836195230484,0.0688850954174995,0.0675129666924476,0.0608391109853982,0.0615900242701172,0.0627507530152797,0.0609461283311247,0.0651493687182664,0.0616693049669265,0.0608069701120257,0.0607853420078754,0.0610457770526409,0.0611844379454851,0.065406521782279,0.0621295301243662,0.0610605450347065,0.0615162905305624,0.0623916564509272,0.060613801702857,0.0697891153395176,0.0685229413211345,0.0608518794178962,0.061105566099286,0.0630606599152088,0.0606104051694273,0.0611350508406758,0.0627500265836715,0.0606484739109873,0.0604347353801131,0.062629691325128,0.0617874655872583
downstream_metrics_CHAOS_mclust_std,0.001135369791215,0.0012687170472013,0.0015034559366095,0.0010503718739061,0.0014132187287657,0.0012613747629273,0.0012201845899426,0.0008364213379188,0.0011804696932437,0.001232405159359,0.0015296584872907,0.0011410502664678,0.0015655141123185,0.0019207196974834,0.0009745817994023,0.0008775036509024,0.0010710717082731,0.000926304616308,0.0009597375626953,0.0006973955733853,0.000929449549631,0.0009529665288012,0.000678797647538,0.0010351510827774,0.0013822650599576,0.0014913511272996,0.0008578074419299,0.0009687661843416,0.0012933923910114,0.0009682173512341,0.0013102293275669,0.001685146247519,0.0011291750431407,0.0006496937179073,0.0009535044846027,0.0010180445902909,0.0009194902750989,0.0012127254120251,0.0008821472547859,0.0009684014211921,0.0011489294192908,0.0008383488075536
downstream_metrics_PAS_mclust_mean,0.1005827027244775,0.0443742834791983,0.3855987677332995,0.0365293950185086,0.1696089938979061,0.2825236831003723,0.3247084746114281,0.1757015913487895,0.8160135797005177,0.4557689473866524,0.3262318717230569,0.3089012734865981,0.2666444070052699,0.1978353629169662,0.0594040357568762,0.060088793251007,0.1870123386001738,0.0494373278162042,0.2934283033688866,0.0573746828702425,0.0283971798348551,0.0630866660787077,0.0408467122309234,0.0733041723729659,0.1996906364651522,0.0986283902603989,0.0655393710583211,0.0610699650065303,0.1141292100678502,0.0370579887481334,0.3197953437476574,0.221471767087121,0.0602114867409221,0.0265512128359183,0.1309247430530495,0.0338081117437284,0.0382999486322491,0.1349910295535304,0.027493105959036,0.015278294948635,0.0679843294106415,0.0883663289970205
downstream_metrics_PAS_mclust_std,0.0094740804631967,0.0021924683494174,0.0277925310255942,0.0055972997457674,0.0837434397552524,0.0159550222184236,0.0173360161880518,0.0092534102928617,0.0301785893321101,0.0078946116100315,0.0112764121854362,0.02325050210233,0.0225073168168759,0.0126638045807999,0.0023258367685725,0.0080258200411948,0.0216323019478838,0.0085085810179031,0.0155684359286773,0.0057197304556533,0.0049654656708944,0.0045245191398912,0.002865268994144,0.0052551552736401,0.0081841349561769,0.0082332324597281,0.0028140266354813,0.0022555547205185,0.0110151586066987,0.0027257882344252,0.0509258336844335,0.0186485866044824,0.0041553338573967,0.0021495560093095,0.002346918320827,0.0025882897562727,0.0030330953141404,0.0042599416240505,0.0008325526768858,0.0015261684090703,0.0069666856378843,0.003034518578814
downstream_metrics_CHAOS_leiden_mean,0.0611110227182507,0.0606702920049428,0.0737862400710582,0.0627384502440691,0.0697375945746898,0.0720575377345085,0.0699584186077117,0.0626343199983239,0.0802201032638549,0.0742734055966138,0.0754926949739456,0.0680113565176725,0.0714280474931001,0.069955725222826,0.0614560144022107,0.0618186043575406,0.0663711242377758,0.0610541030764579,0.0684403795748949,0.0614237710833549,0.0611461503431201,0.0608693985268473,0.0614357804879546,0.0611119894310832,0.0656395014375448,0.0627465732395649,0.0609274506568908,0.0632355092093348,0.0637327674776315,0.0658567789942026,0.0640682727098465,0.0683737080544233,0.0623821355402469,0.0606108224019408,0.0646739117801189,0.0611896207556128,0.0613161260262131,0.0631949454545974,0.0611389065161347,0.0605370411649346,0.0660939775407314,0.0617995336651802
downstream_metrics_CHAOS_leiden_std,0.0007756125025627,0.0012019810033657,0.0021350194804103,0.001849054777218,0.0018506476399991,0.0011177230315801,0.001149681357681,0.0010657796455155,0.0011688546241601,0.0018784702996514,0.0025638147091402,0.0015390140722579,0.0019312767391722,0.0017033221548812,0.0012238348233316,0.0013770046682306,0.0013559367389112,0.0011036743390356,0.0009148511498192,0.0011700774774175,0.0009103536406609,0.0009430219916778,0.0011761669619911,0.0009937312287546,0.0017822239528903,0.0014988440007737,0.0010013116205337,0.0011953182364244,0.0010572066853419,0.0012983483310209,0.0007315883212065,0.0014920191513651,0.0014006270500523,0.0010431923050301,0.0008042838211011,0.001080892818692,0.0013618816210787,0.0009148057893213,0.0008135644962293,0.0009729487272886,0.0013478226605066,0.0010662287308088
downstream_metrics_PAS_leiden_mean,0.0692835677975826,0.0307608105158126,0.3526449928750918,0.0311446517950581,0.2961740289985174,0.581808208689253,0.4572292135951616,0.1459798424989217,0.7924652220225956,0.6601715068374072,0.5478942770781714,0.3422890228273394,0.2353536665361615,0.32234282911091,0.0681991301362296,0.0424563943384724,0.5218439487216142,0.053718601287884,0.3114498666587254,0.0690383399348506,0.019297554544684,0.0652789348484233,0.0306005437635899,0.0694646220228994,0.1604177870120284,0.1168246956666881,0.0581511534304534,0.0802993875921811,0.2219821269465557,0.1984697915396271,0.3259850150033475,0.2061543072154785,0.2088885753965682,0.0156548452465838,0.1332509792836809,0.0221290055155518,0.0637061743847736,0.2146864343663443,0.0292127917060231,0.0180426944560224,0.0943793652051392,0.1187789079556192
downstream_metrics_PAS_leiden_std,0.0076521977301299,0.0029454475072042,0.0229492182959373,0.006615593818271,0.0193957309533056,0.0154441596867578,0.0303296581177514,0.0087131398089515,0.0351036753184574,0.047799946366467,0.0581322484680077,0.0143971217352954,0.018550278438013,0.01775427166988,0.0132169749819244,0.003940203235442,0.0516326672894684,0.0072355787316394,0.0350945092906513,0.0022700326519753,0.0021538321469971,0.0033158684702469,0.0048196637318152,0.0058089033941141,0.0157965322300342,0.0072562906904361,0.0022894927391155,0.0092914076744893,0.0084548915246994,0.0350873898520618,0.0177071056211354,0.0153448989677174,0.0033959513685024,0.0039417987154055,0.0097055910785681,0.0032687562637184,0.0076388590917853,0.0100199594349415,0.0054241070825742,0.0012047549971888,0.0063302219845152,0.0072807460735329
downstream_metrics_average_confidence_score_mean,0.9981541633605956,0.9703616499900818,0.7246971726417542,0.9153232574462892,0.9144864082336426,0.8431742787361145,0.9296348690986632,0.9604411125183104,0.8232429027557373,0.9661352634429932,0.7240956425666809,0.7284113764762878,0.893592357635498,0.7137608528137207,0.8784391283988953,0.9212860465049744,0.9991443753242492,0.9982845783233644,0.975247859954834,0.9947754740715028,0.9798877835273744,0.9913108348846436,0.9975212216377258,0.960077702999115,0.9481739401817322,0.9930675625801086,0.9998666644096376,0.9560100436210632,0.9954798817634584,0.9482927322387696,0.992985725402832,0.979360818862915,0.9994555115699768,0.8368982672691345,0.9625852108001708,0.8803605437278748,0.9795096516609192,0.9998409748077391,0.8363646864891052,0.9932153224945068,0.9283885955810548,0.99023175239563
downstream_metrics_average_confidence_score_std,0.0008729847613722,0.0018000305863097,0.0210882425308227,0.0232288111001253,0.0183519907295703,0.0042480994015932,0.004925200715661,0.0026654477696865,0.0052830539643764,0.002630561357364,0.0121986409649252,0.0164888426661491,0.001305557671003,0.0062178932130336,0.0257881712168455,0.0035102146212011,0.0002918899699579,0.0001462047657696,0.0022675760556012,0.0005801175138913,0.0010372502729296,0.0020967803429812,0.0001389206299791,0.0030997586436569,0.0165599901229143,0.0006840273854322,3.5559303796617314e-05,0.0032070875167846,0.0019341011065989,0.0058459904976189,0.0010069779818877,0.0002071745984721,5.763512308476493e-05,0.0352367423474788,0.0024278773926198,0.0085105253383517,0.0023210612125694,8.430844900431111e-06,0.0040763607248663,0.003097761189565,0.0037060417234897,0.0009574160794727
downstream_metrics_slice_wise_average_PCC_mean,0.7185686230659485,0.7208423614501953,0.7282252907752991,0.718170166015625,0.7251875996589661,0.7153204083442688,0.7206586003303528,0.7131711840629578,0.6722354292869568,0.7169398665428162,0.7295970320701599,0.7358706593513489,0.732266902923584,0.7403470873832703,0.7112662196159363,0.7258648872375488,0.6985275745391846,0.7187904715538025,0.7243118286132812,0.72572261095047,0.7250494956970215,0.7195065021514893,0.7308604121208191,0.7286641597747803,0.7241277694702148,0.725200355052948,0.7204766273498535,0.7298574447631836,0.715867817401886,0.7354686260223389,0.7089470028877258,0.7295506000518799,0.6758782267570496,0.719081461429596,0.7226981520652771,0.7389028668403625,0.7360089421272278,0.7209872603416443,0.7347228527069092,0.7171408534049988,0.7322168946266174,0.7209162712097168
downstream_metrics_slice_wise_average_PCC_std,0.0336647555232048,0.0221169404685497,0.0216453000903129,0.0271291229873895,0.0326606184244155,0.0306948199868202,0.0346657894551754,0.0237662587314844,0.0443020202219486,0.0198488142341375,0.0195719189941883,0.0265905372798442,0.0178644508123397,0.0199422016739845,0.0409949272871017,0.0175010412931442,0.0305092148482799,0.0214154236018657,0.0141009194776415,0.0221230331808328,0.0230713710188865,0.0248664058744907,0.0210523400455713,0.0226742606610059,0.0262771490961313,0.0217650234699249,0.0219470746815204,0.0140240807086229,0.015137055888772,0.0143854655325412,0.020906837657094,0.0215421691536903,0.0475139617919921,0.0193777065724134,0.0247914548963308,0.0200658850371837,0.0177193600684404,0.0244753267616033,0.0177813824266195,0.0176892839372158,0.0200790874660015,0.0225202292203903
