,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,INSTINCT,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAIG,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_PAS_kmeans_mean,0.1097961238862431,0.1096454420463202,0.4812741752062464,0.1340490603821849,0.3119375682564169,0.274393267486499,0.6509562571125443,0.2289088992033595,0.6817530685865257,0.4367856657490576,0.3712258435655719,0.4222546456012074,0.3933270953427483,0.2143794203527017,0.4736771296654425,0.3024900868490818,0.0683131808434189,0.2620626389347533,0.2439355882689325,0.0482792182640933,0.0984857539184684,0.1673804226191303,0.3123813178972893,0.0009496676163342,0.1247539826742241,0.0369885076709814,0.258246169634895,0.4484012280931771,0.3088785293414702,0.3233035294883608,0.387826528234137,0.0363098343274764,0.032961310011173,0.3738936146053763,0.0495142114157968,0.0591339603125064,0.3254828740708149,0.0975835353456119,0.0699973815532439,0.2538596805388007,0.1317459746254365
downstream_metrics_PAS_kmeans_std,0.0184179960456234,0.0044008324370822,0.0532858629135895,0.0294497562756738,0.024393976331411,0.0264229396853934,0.0718895638348058,0.0149137414041759,0.0068479374868894,0.0317178001496071,0.0397479014169516,0.0437665300272217,0.0495702330880815,0.0072376886852607,0.0247497713546978,0.0407894286137684,0.0026853082566159,0.0020412793816895,0.0251208189947676,0.0015176338978532,0.022611654419725,0.0248468358815639,0.0324675418989352,0.0013430328227664,0.0052473701216158,0.0030539617526293,0.023663202696148,0.0306471407113326,0.0153354422328532,0.0100441471842912,0.0200163107841231,0.004817870646986,0.004964980602495,0.0251572370072312,0.0092460472962765,0.014995004730271,0.0146389689327894,0.012924163150228,0.0346055614925261,0.0233068335305494,0.0062862986165876
downstream_metrics_CHAOS_mclust_mean,0.0745340560873349,0.0758350739876429,0.1029093166192372,0.0748885869979858,0.0881391142805417,0.0844170699516932,0.0994376838207244,0.0776783004403114,0.1144388765096664,0.0976598436633745,0.0985223924120267,0.0991182302435239,0.099061444401741,0.0733244096239407,0.0956062600016594,0.0771882484356562,0.0741692036390304,0.0968013529976209,0.0783836444218953,0.0727397178610165,0.076477567354838,0.0761291335026423,0.0853314896424611,0.070421186586221,0.0795608585079511,0.0740069225430488,0.0848056847850481,0.0951340347528457,0.0918454478184382,0.1007787684599558,0.0958376079797744,0.0719444751739502,0.0726672311623891,0.0857201640804608,0.0739039778709411,0.0725716923673947,0.0798655152320861,0.072693794965744,0.075458213686943,0.0936462581157684,0.080505333840847
downstream_metrics_CHAOS_mclust_std,0.002281118780204,0.0019792878476854,0.0025432707233799,0.0022113740027895,0.0012232532602222,0.0024776375711081,0.0021432784724357,0.0019752377974228,0.0034007120907602,0.0037456864022379,0.0012984396172476,0.0022944680668112,0.0025591558597079,0.0022656942972208,0.0030026772501816,0.0026567376708822,0.0011554577283901,0.0009265477538559,0.0023088244064851,0.0016428302102446,0.0026543842505677,0.000656014220541,0.0029138358088421,0.0018014409423849,0.0024779905426013,0.0020291358507254,0.0018218411805085,0.0022985192075367,0.0011677857289748,0.0051966052844312,0.0010341038218964,0.0017083170867494,0.00125947976774,0.0029294076316788,0.0027903121173712,0.0024619538828259,0.0020268569500166,0.0020686355519614,0.0006577333005997,0.0011332309391196,0.0023827838964855
downstream_metrics_PAS_mclust_mean,0.0665049688093148,0.0742181400129835,0.3902416036408416,0.0392661790817792,0.2286691993377515,0.0698072123282758,0.2010666748446115,0.1133728292500146,0.7400044577742992,0.3594544249276113,0.351276968801167,0.3784965989592477,0.354201068630797,0.0478021433759703,0.4414545395178016,0.1182901089807449,0.0755238897170677,0.2155564080867786,0.1392948130941091,0.0282878764213306,0.0810613375684685,0.0830488939675754,0.2280353043249896,0.0009496676163342,0.0821553443246722,0.0389525640723871,0.2157603818650247,0.4708905874899242,0.2019327690391635,0.3483929218964375,0.4003109719773232,0.0231665571777069,0.0281967532227661,0.2689053486115698,0.0364309807860544,0.0337570207044013,0.2192423816306389,0.0288676573966369,0.0770425894457613,0.2310264246492026,0.1271600818345656
downstream_metrics_PAS_mclust_std,0.0077975761289221,0.0047386122714024,0.0276622592315181,0.0050684061740051,0.0660438857558441,0.0148401406735992,0.0224202528866313,0.0067704010439606,0.0144564737003415,0.0095601539510667,0.031277507483863,0.0397395991856818,0.0434468435117793,0.0123471876768982,0.0348192862091193,0.0319511876054412,0.0035830564193819,0.0129023715842285,0.0070703450383435,0.0046870774673302,0.0127125104126411,0.0036623928356945,0.013355486101247,0.0013430328227664,0.0152863068421171,0.0076497777599487,0.0303455232043971,0.0361863811249487,0.0084357083768387,0.0128402549284866,0.0240394020693597,0.0019624143566685,0.0017380736064994,0.0068783986555733,0.0059764103121644,0.0060264147722522,0.0122129548142702,0.0019793678025083,0.0179467286573156,0.0213912848643338,0.0069456036219058
downstream_metrics_CHAOS_leiden_mean,0.0728190913796424,0.077121910949548,0.1026221836606661,0.0746412674585978,0.0905048673351605,0.0901140322287877,0.1088621119658152,0.0815069948633511,0.1039082656304041,0.0964518437782923,0.1002723450462023,0.0994605893890063,0.1017316256960233,0.0727371846636136,0.1009557048479716,0.0795065984129905,0.0744905496637026,0.0985355302691459,0.0760192473729451,0.0729497174421946,0.0744536121686299,0.0763933857282002,0.0858817473053932,0.1079778025547663,0.0817155713836352,0.0746776163578033,0.0899010847012202,0.0885922163724899,0.0959261531631151,0.1023160542050997,0.0933343221743901,0.0723884279529253,0.0728365356723467,0.0866843635837237,0.0732096557815869,0.0721331462264061,0.0823629995187123,0.0761219635605812,0.0749378005663553,0.0976311440269152,0.0941703716913859
downstream_metrics_CHAOS_leiden_std,0.0015932994349952,0.0022814146648529,0.0022880102855454,0.0026286170822034,0.0027411349807207,0.0032088141449561,0.0024803069784335,0.0025309903616508,0.0023912860176574,0.0028556167801996,0.0014506091066061,0.0028969046452312,0.0022701262434961,0.0019843418587319,0.0010379633368907,0.0022248538088508,0.001943568846734,0.0016789277011933,0.0028449448479221,0.0017844368316053,0.0026952393349107,0.0025886626736656,0.00200858392355,0.0021022010503003,2.7095368703783352e-05,0.0023716235856336,0.0002519409914865,0.0021070102965707,0.001403242082367,0.0035406041261713,0.0009458281729138,0.0021844095009315,0.0005791521767582,0.0026997361149167,0.001619733665345,0.0023015570043709,0.0024738778041129,0.0013076055225208,0.000891938492807,0.0018735057844823,0.0025220846142926
downstream_metrics_PAS_leiden_mean,0.0262093893124574,0.0898830004490858,0.430192003571101,0.0517164516255036,0.2749088659288694,0.227968542053852,0.6288051152343787,0.2024542761110267,0.3863069168185853,0.3349866121322714,0.3978398174277809,0.4034011383279399,0.3891133496881578,0.0533772688294073,0.4008476055068047,0.1749320482923174,0.0844205719171256,0.3590028911395899,0.1000305214565255,0.0322712462678474,0.0701968240786139,0.1039707438572175,0.2736201689571924,0.7290486136195674,0.1472917297053612,0.0624836528749452,0.2108001471772679,0.3350789812381579,0.2596491555823739,0.5185425369046402,0.2745499087130472,0.0278952089806615,0.0229302608136013,0.2981170561592625,0.0325943642328644,0.0256391112927761,0.2243624937975338,0.0656383479055008,0.074419134097917,0.2966154091629762,0.4253397523255176
downstream_metrics_PAS_leiden_std,0.0104813126418113,0.0133093631490127,0.0374355842636118,0.000482709762591,0.0266701136228289,0.0120891797488144,0.0961029552671268,0.0278656937656772,0.0092513392799412,0.0297438419911168,0.0417186111858928,0.0420918161835014,0.0524910666302876,0.0139353239515043,0.028665307007257,0.0211852443969418,0.005753113305716,0.0417378193395309,0.0072472196858717,0.005033448281697,0.0103871703087769,0.0064439560746404,0.0517898573318957,0.0597595717720314,0.0054544520915559,0.0073206951715102,0.0114723984946089,0.0409007115491026,0.0341126559762332,0.0295504365840517,0.0321056567199376,0.0016515729520012,0.005316538308777,0.0224996415173306,0.0081117982483325,0.0040361748132147,0.0069383781971955,0.0167144979619353,0.0424961681655985,0.034196438785417,0.027118976835448
