,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_PAS_kmeans_mean,0.2253076375883397,0.1657502080199694,0.722207858506356,0.140395196092214,0.6853211848690577,0.8724152817962163,0.7144087370810741,0.2002368075745677,0.6570946802588035,0.7309694278889571,0.6947358148612561,0.6769989778034196,0.6797517701385631,0.6630690769095502,0.1017216864944899,0.4240533216002573,0.4140492904142713,0.1415313135635657,0.4152116270308326,0.2726480912144344,0.3679861008882235,0.1868334109669374,0.4593079987577297,0.3442720227050431,0.2364395261669913,0.7034219968469207,0.0733595582713791,0.4260316115186287,0.1175229318457845,0.6157381484338563,0.146531628653734
downstream_metrics_PAS_kmeans_std,0.0056467975152898,0.0063972208036897,0.0135618892916416,0.0175671240859525,0.0064586750855982,0.0040719475932421,0.0067645941121202,0.0081157535698716,0.0094348837547596,0.004760192303254,0.0034443982163305,0.0093235277642857,0.0134225241171699,0.0070920354276822,0.0032922578485207,0.0195469914704445,0.002731299202217,0.0138352400497919,0.0080944864099089,0.0429376118901833,0.0095562941026453,0.0178274104451529,0.0290196819101544,0.0006247490290713,0.0377022446642519,0.0124645222839152,0.011068924303208,0.0157733281896435,0.002448577554107,0.0048954664615109,0.0010476735272013
downstream_metrics_CHAOS_mclust_mean,0.0075712157413363,0.0077070076949894,0.0112714278511703,0.0070003962609916,0.0109800472855567,0.0113473902456462,0.0111515615135431,0.0073319850489497,0.0107447225600481,0.0114249787293374,0.011363320518285,0.010934448800981,0.0107877529226243,0.0110388770699501,0.007065748097375,0.010758536402136,0.0080228499136865,0.0070646600797772,0.0075323618948459,0.0098891351372003,0.0097184469923377,0.007946805562824,0.009588701184839,0.0086077339947223,0.0080610639415681,0.0112032620236277,0.0071655255742371,0.0095727345906198,0.0073932714294642,0.0108236060477793,0.0073805071879178
downstream_metrics_CHAOS_mclust_std,3.947224467992783e-05,0.0001535858027637,6.570620462298393e-05,0.0001045123208314,0.0001109093427658,8.314428851008415e-05,7.99940899014473e-05,0.0001501850783824,4.949700087308884e-05,8.323090150952339e-05,7.841596379876137e-05,5.721673369407654e-05,7.599452510476112e-05,9.011384099721909e-05,0.0001459263730794,3.922032192349434e-05,9.645288810133934e-05,0.0001610876061022,9.106844663619996e-05,5.544349551200867e-05,8.406303822994232e-05,1.4493707567453384e-05,0.0001450101844966,6.519537419080734e-05,3.974279388785362e-05,8.849706500768661e-05,0.0001623798161745,5.761859938502312e-05,9.588128887116908e-05,8.850404992699623e-05,0.0001529960427433
downstream_metrics_PAS_mclust_mean,0.1528169019694996,0.1591174970059891,0.6884627447660288,0.0594016344791464,0.689541142816939,0.715691761685803,0.680104178823226,0.1128447277892877,0.6714462171285696,0.7384710917896056,0.7181521438016356,0.7010614895466724,0.6673850108673001,0.6608030246855494,0.0835143057296321,0.6433155764053928,0.3133966967735903,0.072503288869772,0.1858313200653266,0.6315346334869539,0.6014447705770618,0.1569922188719795,0.5205093321207043,0.3362308613082794,0.2045271054046833,0.6702189333067938,0.0887007270126568,0.5818641857155846,0.1340662866485735,0.6491643903480535,0.1351809044962301
downstream_metrics_PAS_mclust_std,0.0249483916642557,0.0065894510889528,0.0165190974923528,0.0032576219563183,0.0061912863076772,0.0014906019979957,0.0113747240880316,0.00283489652587,0.0112948996226994,0.0071901108347399,0.0096522742477614,0.008444740264126,0.0146639046841536,0.010210799274644,0.0024289939633916,0.0130416395413177,0.0092693813548581,0.0002334708484643,0.0076940907410375,0.0219233629416891,0.0016430486882018,0.0204620858169312,0.022094372549267,0.0291711169826858,0.0252836929340337,0.0149097759887661,0.003211554041094,0.0213841439728244,0.0044341447231887,0.0087678341257733,0.0016040717281633
downstream_metrics_CHAOS_leiden_mean,0.0068633337505161,0.0072382979560643,0.0103705450892448,0.0071130292490124,0.0096886353567242,0.0106458533555269,0.0106151681393384,0.0075306510552763,0.0112934708595275,0.0113768670707941,0.0107400040142238,0.0103952754288911,0.0103461998514831,0.0103622353635728,0.0069548964966088,0.0104698110371828,0.0076067866757512,0.0070034456439316,0.0079495832324028,0.0093833836726844,0.0091301389038562,0.0085155814886093,0.0090638152323663,0.0094641912728548,0.0082614230923354,0.010876013431698,0.0071622407995164,0.0089898072183132,0.0076086344197392,0.0103255179710686,0.007053452078253
downstream_metrics_CHAOS_leiden_std,0.0001661386340856,0.0001606012228876,9.634625166654588e-05,0.0001242873258888,0.000143869780004,8.315034210681915e-05,0.0001136343926191,0.0001133778132498,0.0001665307208895,0.0001213904470205,0.0001089344732463,7.597170770168304e-05,7.376400753855705e-05,8.463161066174507e-05,0.0001588913146406,9.333807975053789e-05,0.0001485608518123,0.0001856042072176,0.0001257993280887,0.0002010441385209,7.782690227031708e-05,0.0001591136679053,4.562782123684883e-05,9.5992349088192e-05,0.0006288005970418,0.0001129512675106,0.0001512365415692,0.0001670895144343,0.0001165019348263,7.691746577620506e-05,0.0001342301256954
downstream_metrics_PAS_leiden_mean,0.0264973386043328,0.082098089299396,0.6151116929084686,0.0726260899171497,0.3947103056176769,0.6775412792068289,0.6432633171869011,0.1397228568533299,0.7101303376147576,0.4790098052113574,0.6242493778794704,0.6175867415961678,0.6090571846282291,0.6117603648268334,0.0569142837437243,0.6453299965583748,0.2218521770087212,0.0577398294067961,0.2776378896893163,0.4212709764298055,0.5173261189732842,0.3073516910830969,0.4500564004858173,0.3734585298755913,0.2505714969323817,0.6631304347721396,0.0125835308904282,0.335511207193794,0.1754974341494918,0.6078227178812657,0.0813820914766719
downstream_metrics_PAS_leiden_std,0.0058115578214432,0.0030467059001865,0.0197973177454108,0.0031348298075749,0.0319865905120155,0.0183917879467193,0.0154313317968672,0.0052381190500427,0.0242291719078095,0.0022737846660232,0.0020422294317793,0.014122092496246,0.0192006753665542,0.0203698091263376,0.0005550614167244,0.0182702522327811,0.0105402049375349,0.0073997479477564,0.0092945554863421,0.0231850632258167,0.017143494397234,0.0135875210223035,0.0048802982160547,0.0340272749838616,0.1017582708735144,0.0174638550695568,4.365408217803842e-05,0.0201684171213637,0.0007718066540563,0.0174757311867705,0.0005785433420515
