,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAIR,STAGATE,SPIRAL,SpiceMix,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_average_confidence_score_mean,0.9018030166625975,0.9435999989509584,0.8119613528251648,0.6244061589241028,0.6627598404884338,0.8238942623138428,0.8965378403663635,0.9596487879753112,0.8732807636260986,0.995894491672516,0.7345578074455261,0.8358488082885742,0.952153205871582,0.835530161857605,0.8739722967147827,0.9966096878051758,0.9914986491203308,0.96372789144516,0.7197914719581604,0.9999917149543762,0.9999012351036072,0.9370675683021544,0.6585291624069214,0.9969068169593812,0.570382297039032,0.8315805792808533,0.9990654587745668,0.9558733105659484,0.7858465909957886
downstream_metrics_average_confidence_score_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_slice_wise_average_PCC_mean,0.4173642098903656,0.3231925964355469,0.5858530402183533,0.3776300549507141,0.5054640173912048,0.5495560765266418,0.5744658708572388,0.3307203650474548,0.5430731177330017,0.5224843621253967,0.6077694892883301,0.693457305431366,0.6086256504058838,0.6087641716003418,0.391859233379364,0.5829824805259705,0.4131839871406555,0.4492031037807464,0.6053236722946167,0.2876258194446563,0.4503147304058075,0.575039803981781,0.4153941869735718,0.558850884437561,0.3846747279167175,0.6030499339103699,0.3362720906734466,0.5870330333709717,0.3397659361362457
downstream_metrics_slice_wise_average_PCC_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_average_matching_rate_mean,0.7543862746829111,0.731497013036697,0.4503340101821606,0.563038168388217,0.3221094140843412,0.3966863835672876,0.4166151672993732,0.5018510344015773,0.3589829610664783,0.3411612371619434,0.4594449839616256,0.4960242488449428,0.5015861805126394,0.476713457520379,0.6733586415938319,0.523168829640093,0.7370766016303228,0.5786527765516024,0.5202201230099173,0.0887731379300197,0.5826667843795061,0.6301992289809011,0.4971542921044113,0.4604926282334246,0.5915482181218916,0.7946793796533357,0.8842765074600512,0.5535093140284276,0.7396133133221506
downstream_metrics_average_matching_rate_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bio_metrics_geometry_cell_distance_corr_mean,0.2678936707888899,0.1769707026255684,0.0873154194520547,0.1664848188127803,0.0423579357027319,0.1274058014207125,0.1245109250748617,0.1159292865490196,0.0496471004908366,0.0861725032364782,0.1408289158588548,0.1607463925003802,0.1588556364412444,0.1413377225500524,0.2466506634080914,0.1042905287798292,0.2282982751379597,0.2107100361857931,0.1735038277541359,0.055188838414943,0.1733781768061854,0.1882619496440075,0.1580144634349969,0.1321710769452968,0.2932489482942549,0.2620656302397277,0.2677938508233086,0.1910267988382814,0.2357698186705481
bio_metrics_geometry_cell_distance_corr_std,0.1158214865412563,0.0447297706606618,0.0402248467806907,0.0873317991588857,0.0256106677859487,0.0876682465691863,0.078263526875635,0.0904176367234632,0.0116230573835405,0.0795240075019572,0.0777280753128895,0.0933509120940227,0.0931585277039619,0.0856542838752817,0.0895330014189828,0.0625541744524083,0.0790533634773908,0.1068041340447137,0.1242378938246617,0.0121987720302001,0.1517430018188259,0.0967925207605948,0.1045008290002761,0.0811539802195873,0.0748756178974235,0.1273078223529364,0.0908111678038664,0.1189079787068753,0.0454479623127564
bio_metrics_geometry_truthworthiness_mean,0.7246561467404838,0.6752325909727522,0.56027376259184,0.6748054865095173,0.5402008036832721,0.6076841438635971,0.5555444809466685,0.6463463116332913,0.5382992581611256,0.5449192292423679,0.5659486221931167,0.5713380442760461,0.5717866164409522,0.566770319032248,0.6426414467602144,0.5674961862208332,0.6979740195663504,0.6540834331697039,0.5717259463653185,0.5149602977979473,0.654384127054674,0.5942153959271487,0.5738493750840263,0.5629994443691858,0.7085635638503418,0.6234689661697668,0.6256019264751245,0.5942791050334656,0.6786059842710999
bio_metrics_geometry_truthworthiness_std,0.0229121310738175,0.0394753264902957,0.038253148357758,0.0332718468608563,0.0240218772874931,0.0384800635299175,0.0355418756157511,0.0362905355934423,0.0256458557717306,0.0322047206634483,0.0402548848497738,0.0441156834096876,0.0450725128746552,0.041890971304519,0.0404812134477539,0.0462575968407157,0.027922964292164,0.0354887741505349,0.0448205811126135,0.0002354289684451,0.0293778901690213,0.0462206121123912,0.0506579279842345,0.0412480652956785,0.0277918496975612,0.0445278108176216,0.0398320525963412,0.0471086174724806,0.0245011811534408
bio_metrics_geometry_truthworthiness_decay_mean,-0.2002096939457992,-0.1010856488079596,-0.0015648112739835,-0.1816954860174862,-0.0114199892341602,-0.0313051234717571,-0.0039131511838669,-0.1135633261040838,-0.0072189564323701,-0.0032527347305264,-0.0048267401611954,-0.0037102562137023,-0.0025004427159006,-0.0031900600300775,-0.0741416081424101,-0.0021775167296478,-0.1589033617894097,-0.1165391843161196,-0.0022439558365543,-0.0011798726984488,-0.0374303334621749,-0.0149920708515394,0.0002304317928355,-0.0012468549915076,-0.129734448376333,-0.0279938503947927,-0.016425781125185,-0.0147290282263083,-0.1343338886452463
bio_metrics_geometry_truthworthiness_decay_std,0.0282206699613385,0.0061880556243321,0.0028538155901415,0.0247374036565647,0.0067061816630128,0.0066760356570567,0.0028314911858878,0.0049704880562734,0.0077496604935571,0.0033918369639465,0.0008528587974601,0.0003985072623887,0.0020418721174702,0.0012035729056831,0.0102748602654046,0.0005898802674394,0.0248153354000829,0.0172121813426151,4.690056054761755e-05,0.003423643046046,0.0069279751745021,0.0015971540357362,0.0012777965102564,0.0013507297340513,0.0077109390778458,0.0041549160179652,0.0053574845063296,0.0013472151378783,0.0085608624962066
bio_metrics_scgraph_scGraph_Rank_PCA,0.8207531536710201,0.7353218942586823,0.7948069781100017,0.7351579461627947,0.6895444920337755,0.6758431597449018,0.8258211808819045,0.7364402848177749,0.8741097297854499,0.6879229246631519,0.8238143781608158,0.883440228500952,0.8033381876846256,0.8499924435685671,0.7354801504626776,0.7867611510515602,0.8344606366642175,0.8541035243940872,0.7372195564072765,0.7609514027090978,0.7846369100827909,0.7733493313057584,0.5537500620974891,0.86784958642571,0.7833530023739366,0.8356511128546934,0.7839093192209748,0.8469312190787711,0.5428902238115375
bio_metrics_scgraph_scGraph_Corr_PCA,0.8877052364489103,0.8620001160921842,0.91329571230774,0.8236432950495954,0.7475121463433505,0.7300546302144403,0.909347714773508,0.7596268728622413,0.9117068527215478,0.7928621863946017,0.921622253205701,0.9343964178244712,0.9095500758415668,0.9349844410129956,0.8709804209287583,0.8859551258655831,0.896249090320168,0.9257990080606116,0.7929874231475889,0.6795751606741096,0.8463645271818102,0.9076321630369234,0.6332503046113168,0.9392636968384526,0.8985401168297125,0.9043090864088312,0.8612022636699761,0.9233595840245232,0.6647347345987937
bio_metrics_scgraph_scGraph_Corr_Weighted,0.4026398772484528,0.209060873342303,0.3194116245307538,0.1080208842932371,0.0221879961019654,-0.0123446198819869,0.4511128340237437,0.2247884202181755,0.6503332586213529,0.0297680089268713,0.3521102654665178,0.6129420062340106,0.3394647378629951,0.5075751897204316,0.3010223661362151,0.4076532408623214,0.4631794092171536,0.5954568703287019,0.1746169408351421,0.1270982306680348,0.3941600825712726,0.3254003405661213,0.4276235239658559,0.6219895566090525,0.3943561119683157,0.4265048421755793,0.3564688753107634,0.5062760684614425,0.4935475009197394
sc_metrics_PFC_KNN_acc,0.3883776481184164,0.2996240748717547,0.705642792810432,0.3388221012648314,0.5098680346164389,0.5757136703606531,0.6441437913615539,0.2685710929239926,0.5538630222813956,0.5557034890550965,0.6502134158280143,0.7766769785017817,0.7976857109292399,0.7348944668520186,0.4086423620628891,0.6846340603829737,0.4227395543720875,0.4366409523436582,0.7065238673297568,0.3360809805380428,0.4092689039432979,0.7509104436699691,0.1518189293965618,0.6526804244821239,0.42593100207542,0.7490895563300309,0.3727141011081959,0.7029212515174061,0.3339859811254259
sc_metrics_PFC_KNN_f1,0.1656061375822792,0.1048639612838727,0.5558880868879205,0.1463303797993478,0.4488888674829991,0.3801284478252676,0.4733885767925585,0.0918887188651165,0.3616150547125974,0.39688138384366,0.4716934436715326,0.6441389577615755,0.6748482154781781,0.6018825005346125,0.1969153187872301,0.4775457769686573,0.1886246203960399,0.2234470578127728,0.5613640226937678,0.1389337014113202,0.1943327862146973,0.6230271132625887,0.0503451138218885,0.4759645452416564,0.1957079877429564,0.6061169090716746,0.125340531623393,0.5731893712813506,0.0913418838468372
sc_metrics_PFC_LR_acc,0.3907859184712378,0.3449113051650546,0.7371069428672122,0.4019853545835454,0.5666288130947253,0.6285194032188589,0.668813877902651,0.3270940204409288,0.6537964522066022,0.5980342248502173,0.6698124290245526,0.7848024435133336,0.7970004307475428,0.7679249716098211,0.4388142694913263,0.6812468183420135,0.4389317460939029,0.4819477620707209,0.7453890433488664,0.3202020597564318,0.4582174883502369,0.7116732584093668,0.0194227982926733,0.6527000039158868,0.268277401417551,0.7800250616752163,0.3068684653639816,0.7172729764655206,0.1930140580334416
sc_metrics_PFC_LR_f1,0.1686359285576364,0.1083085357679474,0.6064628965744564,0.2147214602635963,0.5088585623002616,0.496688439650767,0.4912844087971579,0.1070893494188664,0.4945043675761356,0.4170132478059879,0.46244979838145,0.6328383884788444,0.6709284807713828,0.6601027034503382,0.2544259927295868,0.4362253726643935,0.2067159132898301,0.279566502006194,0.6176080032273441,0.1194511128829434,0.2042948329522166,0.6430252765113057,0.0137609506485257,0.4638989408840105,0.1776152131534557,0.6581808800633728,0.1294647871898122,0.5849860605151822,0.0893947176349807
