,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_NMI_leiden,0.497753027022806,0.4748736694296007,0.0037056060250937,0.4011072701070349,0.0027446172478853,0.0092656379430979,0.1616442876951103,0.2018960580205733,0.0083032255877158,0.0476053193340326,0.0236303357450429,0.1780283430833496,0.1115529797614731,0.0006130396061397,0.6603702036987165,0.6139313716561732,0.2283649009729756,0.3823667526815241,0.3485526912272043,0.452579019638618,0.2002334331015419,0.2252109140706313,0.5553829310549883,0.5136526874448804,0.217217493025628,0.2636730520891774,0.3911395888393055,0.0779823881864463,0.4749184625061931,0.6113310307183826,0.1352508417814373,0.5109431128562787,0.7184600882385317,0.0341815412949571,0.0728659940638044
bio_metrics_cLISI,0.9999999403953552,0.995396614074707,0.6625093817710876,0.9046195149421692,0.6769661903381348,0.6761124730110168,0.7441315054893494,0.7746774554252625,0.5853238701820374,0.6762277483940125,0.688859224319458,0.7969294190406799,0.7388991713523865,0.7526736259460449,0.9999999403953552,0.9988040328025818,0.8149099349975586,0.9713338017463684,0.9840005040168762,0.9670713543891908,0.7922031879425049,0.7066023945808411,0.9978054165840148,0.9945433735847472,0.8540940284729004,0.8224694132804871,0.9800565242767334,0.7266848683357239,0.9942124485969543,0.9978836178779602,0.681208610534668,0.964428961277008,0.9999999403953552,0.7472198605537415,0.6647284626960754
bio_metrics_isolated_labels,0.6310883164405823,0.5670133829116821,0.5001226663589478,0.4914522469043731,0.458568274974823,0.5174923539161682,0.529795229434967,0.4932485520839691,0.471950352191925,0.5071815848350525,0.4859032332897186,0.5132793188095093,0.5246891975402832,0.4201146960258484,0.5980967283248901,0.623009443283081,0.5070451498031616,0.5315576195716858,0.5935658812522888,0.5177011489868164,0.5340521335601807,0.6723030805587769,0.631586492061615,0.8084705471992493,0.5390884876251221,0.4753359854221344,0.5324130654335022,0.4937904477119446,0.5194824934005737,0.5461394786834717,0.5965005159378052,0.5546602010726929,0.543997585773468,0.3671351671218872,0.5159189701080322
bio_metrics_ASW_label,0.5688467621803284,0.5654888153076172,0.5036050081253052,0.5101068019866943,0.4772588312625885,0.4864289462566376,0.504523754119873,0.5223444104194641,0.4773984253406524,0.4965124726295471,0.5026471018791199,0.508111298084259,0.5023224949836731,0.5028285384178162,0.5481663942337036,0.5712797045707703,0.5327450633049011,0.5382860898971558,0.5460520386695862,0.5398051142692566,0.4883193075656891,0.4733366370201111,0.5541651248931885,0.6211521029472351,0.5280647277832031,0.5243698358535767,0.567621111869812,0.4750721454620361,0.5457287430763245,0.5572465658187866,0.4917321801185608,0.5260512828826904,0.6644167304039001,0.5200952887535095,0.4723156094551086
spatial_metrics_moran_i_mean,0.8956567957540919,0.8486074565916746,0.1255015492421348,0.4988904775096139,0.0888713356353025,0.0750793910918973,0.0961136094933453,0.5532846705922286,0.0180963939564373,0.0588871363077805,0.0663680229882218,0.0787865356668597,0.2279322075887553,0.0372807373700468,0.8786024268395974,0.5091026304416228,0.4208517810438391,0.7417153737626158,0.7762494514723224,0.7696231825061379,0.562936308153014,0.3509108706233066,0.8631713579283581,0.4534819552177992,0.4933260128206368,0.5677576629496801,0.844419203896936,0.1198117689595483,0.4394236688977318,0.6147165610244806,0.803974583917201,0.5860103970541359,0.901799123515426,0.0949068725746914,0.4936051348730274
spatial_metrics_moran_i_std,0.0027660939561753,0.0126874800457621,0.0170229636060038,0.0146393259747444,0.0127758096062213,0.0055472549494643,0.0192338161985069,0.0127004380142378,0.0013977189843859,0.0119161090517514,0.0058605794547603,0.0083812396968581,0.0304511218471516,0.0080285175014641,0.0071979551492921,0.0021771685572072,0.012782897492495,0.0185736152239635,0.0314788290207415,0.0132373046853651,0.0225304899454452,0.050595410449983,0.0069897547391086,0.0224440080924712,0.0296580486135443,0.0644842443396436,0.0127742098896271,0.0182320566957138,0.0002927534652771,0.0186058726766651,0.0081963209513916,0.0376764361206015,0.0093813770887878,0.0196516218039061,0.0095551091437172
spatial_metrics_greay_c_mean,0.1025179615839513,0.1512770197115865,0.8744991437215862,0.5023624524587414,0.9113002813297018,0.9243848440200928,0.9036025290066144,0.4474775076483653,0.9820351715124662,0.9403707801342868,0.933620027222944,0.920954840100318,0.7717988327754066,0.9536703601403362,0.1337807561212078,0.4916123502610503,0.5788406894305076,0.2566819349344132,0.2198868195044268,0.2289687597887224,0.4368747885806994,0.4839130067549895,0.1368120874415847,0.546113486494799,0.5063028126923065,0.4339892118655876,0.1555672088468019,0.8805943855264924,0.5577453854528822,0.3823839413673602,0.193722000102971,0.4136878719537008,0.0992611676353756,0.8971786210399095,0.5059873263048886
spatial_metrics_greay_c_std,0.0018519936439119,0.0126052134559411,0.016953901745622,0.0148519570705456,0.0135578354103353,0.0054899336471,0.0193316876846761,0.0124278096143755,0.0014728141296305,0.012517836059234,0.0057977682386947,0.0085432848337281,0.0302829297078858,0.0165957185452396,0.0063016468078196,0.0016764283584494,0.0119879281234513,0.0174857948076387,0.0296969146327501,0.0122377283185186,0.0221799125767078,0.0285046493185504,0.0068194644530548,0.0222238392702935,0.0289581641027039,0.0648218259035802,0.012709984218959,0.018528682949607,0.0008370997546922,0.0176327084599279,0.0075042434051341,0.0369850719577427,0.0091996961329361,0.0238017332157653,0.0098957445280353
downstream_metrics_CHAOS_kmeans_mean,0.0137678738683462,0.0137280784547328,0.0175736285746097,0.0144071434624493,0.0172829618677496,0.0193052450194954,0.0169057650491595,0.0144890742376446,0.0192489558830857,0.0183994583785533,0.0179090183228254,0.0158275691792368,0.0176007719710469,0.0144833838567137,0.0141013436950743,0.0137141472660005,0.0153589472174644,0.0140317119657993,0.0146028925664722,0.014020973816514,0.0142727233469486,0.0145033518783748,0.0142889474518597,0.0140867470763623,0.0156641965731978,0.0150196831673383,0.0141359386034309,0.0178405242040753,0.0136604509316384,0.0137121696025133,0.0136132077313959,0.0145091232843697,0.0133536835201084,0.0142688169144093,0.0139441443607211
downstream_metrics_CHAOS_kmeans_std,8.285138756036758e-05,0.0001543089747428,0.0003575887531042,0.0002275458537042,0.0002949004992842,0.0004201224073767,0.0003977073356509,0.0001913681626319,0.0003728112205862,0.0003306046128273,0.0004009492695331,0.0001860400661826,0.0004963418468832,0.0001989873126149,0.0001357491128146,4.467880353331566e-05,0.000269902870059,0.0001163780689239,0.0002321363426744,0.0001513846218585,0.0001562917605042,0.0002958797849714,0.0002055238001048,0.0001109787262976,0.0003366572782397,0.0001019872725009,0.0001365928910672,0.0005489131435751,9.538931772112846e-05,0.0001392923295497,0.0001139477826654,0.0002865227870643,0.000103595200926,0.0004440010525286,0.000134109519422
