,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,STAMP,STAligner,STAIR,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche,STAGATE
bio_metrics_NMI_leiden,0.4232879032566383,0.5744688890323626,0.1507004416591405,0.6070794797043347,0.1963154518777091,0.1311735939047167,0.3114950878547731,0.4111739772953074,0.2637257495945099,0.1549882308809641,0.4657898977420951,0.273341290342699,0.2069620827352471,0.4025125474569136,0.4556855182488388,0.6604205265168878,0.6317270716226735,0.4527771332700399,0.4656942209831159,0.6158503280045486,0.4642784088252288,0.3870968579256442,0.3443454467672666,0.6700478013689827,0.145852834862779,0.6866542938298759,0.3238910888361969,0.6735253457586778,0.1985349680953676,0.6886221254057641,0.7213470087920828,0.3079267925790008,0.2787193069722954,0.6597241730952431
bio_metrics_cLISI,0.9897705912590028,0.9694094657897948,0.6941067576408386,0.9518237113952636,0.7816693186759949,0.7150532007217407,0.8689643740653992,0.9016744494438172,0.8084869384765625,0.7585890889167786,0.8892661333084106,0.7976011633872986,0.8211529850959778,0.9975733757019044,0.9047507047653198,0.9669153094291688,0.9777739644050598,0.8585075736045837,0.955382764339447,0.9920021891593932,0.9489136338233948,0.8993497490882874,0.8471314311027527,0.96611088514328,0.7016602754592896,0.9910279512405396,0.8308611512184143,0.9871957898139954,0.8079085946083069,0.9467962384223938,0.999334752559662,0.7573976516723633,0.8200289607048035,0.9702885746955872
bio_metrics_isolated_labels,0.5017073750495911,0.5565442442893982,0.4999400377273559,0.5262718200683594,0.4931431114673614,0.481317788362503,0.4711403250694275,0.5089090466499329,0.4591628313064575,0.4927443861961365,0.5049810409545898,0.5068920850753784,0.4889714121818542,0.5521813035011292,0.5378753542900085,0.5553505420684814,0.5492807030677795,0.4896518588066101,0.5524553656578064,0.5747457146644592,0.4822228550910949,0.5267910957336426,0.4896101951599121,0.6253494620323181,0.478258341550827,0.5803052186965942,0.4950478672981262,0.5554757118225098,0.4401552081108093,0.5333272218704224,0.6300573348999023,0.4227312207221985,0.492644727230072,0.5629634857177734
bio_metrics_ASW_label,0.4884010255336761,0.5479139685630798,0.4972502589225769,0.5237525105476379,0.4904666244983673,0.4764384031295776,0.4584166407585144,0.4940076172351837,0.4542534947395324,0.4885120987892151,0.5000936388969421,0.5026158094406128,0.4864561259746551,0.5456893444061279,0.53627610206604,0.5488661527633667,0.5382528305053711,0.4773840606212616,0.5485897064208984,0.5689654350280762,0.4846908152103424,0.5206668972969055,0.4881262481212616,0.6276842355728149,0.4702001214027405,0.5734791159629822,0.4957345426082611,0.55623459815979,0.4334518909454345,0.528298020362854,0.6523895859718323,0.3968475461006164,0.4704685807228088,0.5542336106300354
spatial_metrics_moran_i_mean,0.9448152490383732,0.8950450912663939,0.1381300257024363,0.5435183435560567,0.1458267956763464,0.1037219122621116,0.1277303005524203,0.6470556021215426,0.1168210868732497,0.0850530377809346,0.112937331270831,0.2160403574816689,0.0686268529062348,0.881488026493271,0.5121741166901277,0.8241063269650063,0.8808614900333028,0.5641337798165338,0.7270906725210003,0.9410847990809176,0.490489136857886,0.4884397160200536,0.693243480793245,0.8335185917946311,0.232838293647258,0.3850969610081027,0.3505520576071603,0.5982789013696919,0.9667941735925168,0.6204448024970965,0.8911097394313185,0.2495961423409559,0.4952068642418729,0.90087773139226
spatial_metrics_moran_i_std,0.0101010074812659,0.0088491480908949,0.0174468266003802,0.0063046404464745,0.003667880782686,0.0053842241410827,0.0080867022517013,0.0132932487663795,0.00223478118464,0.0003566734799525,0.00387970205473,0.0159774461587742,0.000850782470038,0.0002409407796174,0.0176288080607406,0.0088737808784453,0.0076267794026719,0.0144883081429267,0.044092017847107,0.0117974055100741,0.0390093641117006,0.0216420736386287,0.0156396841944471,0.0016718359572199,0.0165085713135735,0.0130504202895911,0.0282402621906552,0.0005445176369842,0.0054640024435613,0.0173405104916565,0.0010086898934389,0.0729783051513941,0.0062761262002554,0.0076338567160206
spatial_metrics_greay_c_mean,0.0503315449136035,0.1049680745857703,0.8619176899437646,0.4570175604376331,0.854574002094835,0.8937363053261034,0.8746302729656885,0.3514971040427319,0.8619479410689503,0.9141094741919996,0.8811866206308565,0.7853094616028087,0.9310654932583902,0.1204696832463944,0.4898726578659146,0.1698603466686379,0.1130773362551863,0.4355256213611826,0.2728472397932532,0.059065996888005,0.5054161890883393,0.5140062839492875,0.3054443677899653,0.1658058138916065,0.7618642409601046,0.6141667376410584,0.6482892032361471,0.4019316015918223,0.0317063072767677,0.3796275519215822,0.1039006001877092,0.6503955995871934,0.5046251241135963,0.0934503343499296
spatial_metrics_greay_c_std,0.0106713895250409,0.0087487892616774,0.0173598777950604,0.0060083662129309,0.0032140603544135,0.0059214330505358,0.0076384242388983,0.0132769687902184,0.0021644564269504,0.0002381024456763,0.0045189055869709,0.0154785550079054,0.0005525842589363,0.0005394469061495,0.0173838306888229,0.0089035740094621,0.0071102693532855,0.01419702925146,0.045333443468959,0.0115278257538539,0.040883955204838,0.0216762844542904,0.0161555234391742,0.001424277766126,0.0166829351407505,0.0131844431065215,0.0280984048909864,0.000691840111576,0.0047858042633939,0.0173010703064515,7.12451402729436e-05,0.0820423339594538,0.0061028080204813,0.0067313417115966
downstream_metrics_CHAOS_kmeans_mean,0.0180126084014773,0.0180272674188017,0.0243005976080894,0.0186150465160608,0.0239737201482057,0.0256893290206789,0.0204115724191069,0.0183582892641425,0.0233799442648887,0.0242916634306311,0.0199456475675106,0.0252631343901157,0.0199203779920935,0.0176298674196004,0.0215110909193754,0.0182056101039052,0.0189603120088577,0.0192147577181458,0.0191166205331683,0.0183810237795114,0.0179997943341732,0.0213032653555274,0.0213146433234214,0.0188575144857168,0.0236433893442153,0.0176397990435361,0.0201847068965435,0.0179853159934282,0.0178076224401593,0.0188432428985834,0.0175886387005448,0.0181305818259716,0.0187520356848835,0.0181115912273526
downstream_metrics_CHAOS_kmeans_std,0.0003170808777213,0.0004107942804694,0.000100614503026,0.0004166271537542,1.18352472782135e-05,0.0003988770768046,0.0002939300611615,0.0003518341109156,0.0005619078874588,0.0005459198728203,0.0001018233597278,0.0001413319259881,0.0003472687676548,0.000374112278223,0.0001458041369915,0.0004498241469264,0.0001925453543663,0.0001767287030816,0.0002784272655844,0.0004434864968061,0.0003410223871469,0.0001037018373608,6.74612820148468e-05,0.000216968357563,0.0008187424391508,0.0004240721464157,0.0003549642860889,0.0003901831805706,0.0003215698525309,0.0004809815436601,0.0003797644749283,0.0003785919398069,0.0001235054805874,0.0003592306748032
