,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_NMI_leiden,0.7307382440926992,0.7188538685516094,0.3425955387183236,0.735623736775175,0.3863824702728695,0.2857417720059688,0.3137945081218734,0.6724540823616526,0.1174788922234019,0.2668582983200646,0.3672691829652729,0.4009559428271349,0.4003687261612446,0.722492752590189,0.3739416936411242,0.7562382267706845,0.7596848838729852,0.7736695665112486,0.4512759685945183,0.046076556282703,0.632989430746078,0.562817770491666,0.4848367839516942,0.6542758540547525,0.6414021411025316,0.3481874040920754,0.6992400861755848,0.5767657048112841,0.784377607166212,0.5419893931496407,0.7541906067478594,0.7085237824688138,0.5324618942674714,0.5536678996816355
bio_metrics_cLISI,1.0,1.0,0.946889579296112,1.0,0.9660660624504088,0.9106321334838868,0.9488697052001952,0.9993840456008912,0.8297541737556458,0.9124124646186828,0.9719734191894532,0.9840654134750366,0.9757258296012878,1.0,0.9657496213912964,1.0,1.0,0.9999998807907104,0.98260498046875,0.6071740388870239,0.9991546869277954,0.996907353401184,0.9974614977836608,0.9980968236923218,0.99619323015213,0.907357096672058,1.0,0.9889737963676452,1.0,0.9914990663528442,1.0,1.0,0.9993636012077332,0.9886134266853333
bio_metrics_isolated_labels,0.6493303775787354,0.6478920578956604,0.5259186029434204,0.6030293703079224,0.5460126996040344,0.4991410374641418,0.5121093392372131,0.6716395020484924,0.4120666086673736,0.5107861757278442,0.5430310964584351,0.5708484649658203,0.5555977821350098,0.6569207906723022,0.4980500936508178,0.6125023365020752,0.5947521924972534,0.6107752323150635,0.5438693761825562,0.4432755708694458,0.5470831394195557,0.4689893126487732,0.5987105965614319,0.5546812415122986,0.506424069404602,0.4566802382469177,0.5229723453521729,0.5347455739974976,0.6491074562072754,0.5572048425674438,0.59876549243927,0.570473849773407,0.5723623037338257,0.7286978960037231
bio_metrics_ASW_label,0.58744877576828,0.5249409675598145,0.4991215765476227,0.5476546287536621,0.5010010600090027,0.4929554462432861,0.442970335483551,0.5652554035186768,0.4402157068252563,0.5001669526100159,0.5070816278457642,0.5296655893325806,0.5028031468391418,0.6010626554489136,0.5067152976989746,0.5613075494766235,0.5665560364723206,0.560518741607666,0.5167303085327148,0.3611466586589813,0.5164165496826172,0.5454328060150146,0.5294293165206909,0.5425049662590027,0.6151375770568848,0.4522052407264709,0.5908823013305664,0.5423218607902527,0.5748434066772461,0.5273078680038452,0.571289598941803,0.5540047287940979,0.5447914004325867,0.6048728227615356
spatial_metrics_moran_i_mean,0.9316846441268898,0.8925671670598876,0.2315050389961971,0.6885995727524363,0.2723679506472807,0.1282423504701561,0.1734695139309329,0.7064358597276739,0.0632029019206615,0.1416779842701769,0.180294847978722,0.4895756107076107,0.2268819532004219,0.6107748290736275,0.413102541888251,0.7809231185221165,0.9100122571134448,0.7845550966567452,0.4037993486717244,0.0529804006311382,0.8913435568575754,0.5154648800559891,0.5460196135621461,0.7597723858585943,0.9162519262500248,0.4321564288893028,0.5136035209256371,0.6574995818083694,0.7936723537388886,0.8619546045013156,0.796974919192939,0.928243046554671,0.5539333254184033,0.6079240197197766
spatial_metrics_moran_i_std,0.000300227061101,0.0019557518619345,0.0106007320604527,0.0179073406857749,0.0169472860156755,0.0014347667312059,0.0188991777601121,0.0156945043892869,0.0004512197508185,0.0102861904763386,0.0168259060552295,0.0236524793484381,0.0182218078647466,0.0138167465980826,0.0068235990461283,0.0113599981306907,0.0016806579916656,0.0089771255661703,0.0165026408722552,0.0015210888734096,0.0064924048673643,0.0203605590834999,0.0134666784460582,0.0092874592667195,0.0151117583700892,0.0021788874868081,0.011765030755463,0.0135291174752291,0.0218958677299442,0.0066891955440839,0.0113073137225653,0.0008819087105504,0.0207769449374179,0.0064889875388792
spatial_metrics_greay_c_mean,0.0684173326373673,0.10730966534334,0.7685034026796931,0.3186709725170619,0.7311065744850759,0.8716486227177801,0.8237488814832848,0.2950367881625705,0.9374061786300908,0.8588248054257137,0.8202531365041101,0.5133885311962814,0.7753827004888078,0.3901105893416877,0.5869220922657538,0.2212348813259629,0.090886690553793,0.2174158878065933,0.59780051591984,0.6631385426630122,0.1102489945583262,0.4873101026684352,0.4571233308022023,0.2480982259400061,0.08434906403201,0.5686448611864043,0.4825092442871677,0.3461395830444299,0.2104766979235712,0.1380046000380885,0.2076240603842154,0.0726257079893014,0.4498340062414229,0.3907395114052925
spatial_metrics_greay_c_std,0.0004215996513041,0.0019508306861627,0.0105762565798142,0.0166941175473634,0.0161965347550069,0.0015169683304033,0.0182521874430247,0.0154568884654308,0.0001833307908657,0.0103795530542382,0.0167967286065642,0.0224877193233066,0.0178334419887019,0.0132990849857794,0.0068193821773486,0.0101190554681718,0.0007668113097496,0.0076813064639281,0.0162265637526836,0.0016037413764442,0.0062171895124753,0.0191864701540439,0.0124466942284651,0.0094655687926584,0.0152971978903008,0.0016073901767353,0.0117162269386872,0.01327778312065,0.0200452009601448,0.0048349557719672,0.0102044283152766,0.0006363465553966,0.0203975836890904,0.0064749540356234
downstream_metrics_CHAOS_kmeans_mean,0.0104842591099441,0.0107274465262889,0.0214142687618732,0.0107227675616741,0.0180357750505208,0.0206297794356942,0.0162137169390916,0.0111281513236463,0.0215096455067396,0.0213320273905992,0.0180600583553314,0.017084926366806,0.0167556283995509,0.0102833551354706,0.016673075966537,0.0115514597855508,0.0108925043605268,0.0114309256896376,0.0155447078868746,0.0139832156710326,0.0123082874342799,0.0120046995580196,0.0143465837463736,0.0132910059764981,0.0111430031247437,0.0174278710037469,0.0100613902322947,0.0113368355669081,0.0103741218335926,0.0102114607580006,0.0105423768982291,0.0099589014425873,0.0138843581080436,0.0105032254941761
downstream_metrics_CHAOS_kmeans_std,0.0001081642694771,0.0001501766964793,2.789497375488281e-05,0.0001308778300881,2.255849540233612e-05,6.072875112295151e-05,0.0005267281085252,6.2515027821064e-06,0.0002445001155138,9.017810225486755e-05,0.0001372750848531,0.000274159014225,0.0001282589510083,0.0001043207012116,0.000116285867989,9.553739801049232e-05,0.0001228977926075,7.384456694126129e-05,0.0002103531733155,1.3701152056455612e-05,6.358139216899872e-05,4.47174534201622e-05,6.354320794343948e-05,3.335066139698029e-06,0.0002250312827527,0.0001180656254291,0.0001124986447393,6.177974864840508e-05,8.779717609286308e-05,0.0001227599568665,0.0001476174220442,0.0001162327826023,2.8819777071475983e-05,7.483968511223793e-05
